"scenario","rep","method","ci_type","coef_coverage","joint_coverage","mean_width","theta_mse","boot_ok"
"exp",1,"LSE","classical-normal",0.833333333333333,0,0.161827170513708,0.00240806768354821,NA
"exp",1,"LSE","bootstrap-normal",0.833333333333333,0,0.154031662348431,0.00240806768354821,1
"exp",1,"LSE","bootstrap-percentile",0.833333333333333,0,0.140667188377805,0.00240806768354821,1
"exp",1,"PMM","bootstrap-normal",0.833333333333333,0,0.128407395512757,0.00221608911482898,1
"exp",1,"PMM","bootstrap-percentile",0.666666666666667,0,0.119154239444485,0.00221608911482898,1
"exp",1,"Huber","bootstrap-normal",0.666666666666667,0,0.140513520563358,0.00990118046571864,1
"exp",1,"Huber","bootstrap-percentile",0.666666666666667,0,0.131596975745383,0.00990118046571864,1
"exp",1,"L1","bootstrap-normal",0.666666666666667,0,0.213053661926396,0.0273095682629259,1
"exp",1,"L1","bootstrap-percentile",0.666666666666667,0,0.195524428743927,0.0273095682629259,1
"exp",2,"LSE","classical-normal",1,1,0.147963555542377,0.00168707271436072,NA
"exp",2,"LSE","bootstrap-normal",0.833333333333333,0,0.132624302684513,0.00168707271436072,1
"exp",2,"LSE","bootstrap-percentile",0.833333333333333,0,0.121975094703136,0.00168707271436072,1
"exp",2,"PMM","bootstrap-normal",0.5,0,0.101677401138096,0.00183134948001682,1
"exp",2,"PMM","bootstrap-percentile",0.666666666666667,0,0.098112407632268,0.00183134948001682,1
"exp",2,"Huber","bootstrap-normal",0.5,0,0.113741288977859,0.0039645930940826,1
"exp",2,"Huber","bootstrap-percentile",0.5,0,0.107717651342175,0.0039645930940826,1
"exp",2,"L1","bootstrap-normal",0.833333333333333,0,0.148672372465586,0.00863884735180879,1
"exp",2,"L1","bootstrap-percentile",0.833333333333333,0,0.142881517855626,0.00863884735180879,1
"exp",3,"LSE","classical-normal",1,1,0.166733128142118,0.000643290143325132,NA
"exp",3,"LSE","bootstrap-normal",1,1,0.159082789023353,0.000643290143325132,1
"exp",3,"LSE","bootstrap-percentile",1,1,0.152880866790082,0.000643290143325132,1
"exp",3,"PMM","bootstrap-normal",1,1,0.129712118182741,0.000280599107357519,1
"exp",3,"PMM","bootstrap-percentile",1,1,0.116701253222427,0.000280599107357519,1
"exp",3,"Huber","bootstrap-normal",0.833333333333333,0,0.146513157361809,0.00432971681947937,1
"exp",3,"Huber","bootstrap-percentile",0.833333333333333,0,0.140726556151306,0.00432971681947937,1
"exp",3,"L1","bootstrap-normal",0.833333333333333,0,0.192126085955764,0.013121803761823,1
"exp",3,"L1","bootstrap-percentile",0.833333333333333,0,0.183870629304731,0.013121803761823,1
"exp",4,"LSE","classical-normal",1,1,0.180970841350635,0.000663247811627195,NA
"exp",4,"LSE","bootstrap-normal",1,1,0.175587975054228,0.000663247811627195,1
"exp",4,"LSE","bootstrap-percentile",1,1,0.160457989757833,0.000663247811627195,1
"exp",4,"PMM","bootstrap-normal",1,1,0.131441689106626,0.000599596061210549,1
"exp",4,"PMM","bootstrap-percentile",1,1,0.123376026995828,0.000599596061210549,1
"exp",4,"Huber","bootstrap-normal",0.833333333333333,0,0.139605299716807,0.00592151876190593,1
