"criterion","method","n_pts","emp_cov","wilson_lo","wilson_hi","verdict"
"MSE","Huber",64530,0.9617,0.9602,0.9631,"OVERCOVERS"
"MSE","L1",64530,0.9593,0.9578,0.9608,"OVERCOVERS"
"MSE","LSE",64530,0.9038,0.9015,0.9061,"UNDERCOVERS"
"MSE","ridge-LSE",64530,0.9002,0.8978,0.9025,"UNDERCOVERS"
"MSE","PMM",64530,0.7066,0.7031,0.7101,"UNDERCOVERS"
"ReserveTW4","Huber",64530,0.9617,0.9602,0.9631,"OVERCOVERS"
"ReserveTW4","L1",64530,0.9585,0.9569,0.96,"OVERCOVERS"
"ReserveTW4","LSE",64530,0.9038,0.9015,0.9061,"UNDERCOVERS"
"ReserveTW4","ridge-LSE",64530,0.9002,0.8978,0.9025,"UNDERCOVERS"
"ReserveTW4","PMM",64530,0.7066,0.7031,0.7101,"UNDERCOVERS"
