"criterion","method","n_seed","nrmse_med","nrmse_q1","nrmse_q3","nrmse_max","cov_med","cov_q1","cov_q3","width_med","cond_med","pmm2_med"
"MSE","L1",1,3.08653475296043,3.08653475296043,3.08653475296043,3.08653475296043,0.935843793584379,0.935843793584379,0.935843793584379,4.43992153546783,4.32100241201216,0
"MSE","Huber",1,3.78142730788624,3.78142730788624,3.78142730788624,3.78142730788624,0.96838679683868,0.96838679683868,0.96838679683868,4.72996054953915,4.80782159758241,0
"MSE","ridge-LSE",1,4.80943014945615,4.80943014945615,4.80943014945615,4.80943014945615,0.817759181775918,0.817759181775918,0.817759181775918,4.9360105657484,3.77812956672028,0
"MSE","LSE",1,4.81091168572735,4.81091168572735,4.81091168572735,4.81091168572735,0.815899581589958,0.815899581589958,0.815899581589958,4.93699213663162,3.77812991641614,0
"MSE","PMM",1,6.27880396836602,6.27880396836602,6.27880396836602,6.27880396836602,0.522082752208275,0.522082752208275,0.522082752208275,5.34991134176695,3.78825665602729,0.611111111111111
"ReserveTW4","L1",1,3.08653475296043,3.08653475296043,3.08653475296043,3.08653475296043,0.935843793584379,0.935843793584379,0.935843793584379,4.43992153546783,4.32100241201216,0
"ReserveTW4","Huber",1,3.78142730788624,3.78142730788624,3.78142730788624,3.78142730788624,0.96838679683868,0.96838679683868,0.96838679683868,4.72996054953915,4.80782159758241,0
"ReserveTW4","ridge-LSE",1,4.80943014945615,4.80943014945615,4.80943014945615,4.80943014945615,0.817759181775918,0.817759181775918,0.817759181775918,4.9360105657484,3.77812956672028,0
"ReserveTW4","LSE",1,4.81091168572735,4.81091168572735,4.81091168572735,4.81091168572735,0.815899581589958,0.815899581589958,0.815899581589958,4.93699213663162,3.77812991641614,0
"ReserveTW4","PMM",1,6.27880396836602,6.27880396836602,6.27880396836602,6.27880396836602,0.522082752208275,0.522082752208275,0.522082752208275,5.34991134176695,3.78825665602729,0.611111111111111
