"rep","criterion","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
1,"MSE","PMM-auto",TRUE,0.999799377487051,3533.2676177807,-1331.81661359224,-0.368301103206292,0.368301103206292,0.178,23801.6054454892,-23792.6133168008,-0.902990893762135,0.902990893762135,0.97,0.0555555555555556,3,TRUE,TRUE,TRUE
1,"MSE","PMM-relaxed",TRUE,0.999799377487051,3533.2676177807,-1331.81661359224,-0.368301103206292,0.368301103206292,0.178,23801.6054454892,-23792.6133168008,-0.902990893762135,0.902990893762135,0.97,0.0555555555555556,3,TRUE,TRUE,TRUE
1,"MSE","LSE",TRUE,0.999799377487051,3533.2676177807,-1331.81661359224,-0.368301103206292,0.368301103206292,0.178,23801.6054454892,-23792.6133168008,-0.902990893762135,0.902990893762135,0.97,0,3,TRUE,TRUE,TRUE
1,"MSE","Huber",TRUE,1.00104181629651,2951.86851556772,-2455.31718320273,-0.678994403633261,0.678994403633261,0.518,25139.3426117946,-25139.3426117946,-0.954102735641371,0.954102735641371,1,0,3,FALSE,FALSE,FALSE
1,"MSE","L1",TRUE,1.00113080916418,2932.29551825263,-2441.71725277985,-0.675233473391698,0.675233473391698,0.491,25165.7119943745,-25165.7119943745,-0.955103521558695,0.955103521558695,1,0,3,FALSE,FALSE,FALSE
1,"Reserve","PMM-auto",TRUE,0.999616927343917,3703.78633336738,-1309.57504159743,-0.3621504099208,0.3621504099208,0.244,24140.2858633556,-23888.5631129053,-0.906632435403109,0.906632435403109,0.94,0,3,TRUE,FALSE,FALSE
1,"Reserve","PMM-relaxed",TRUE,0.999616927343917,3703.78633336738,-1309.57504159743,-0.3621504099208,0.3621504099208,0.244,24140.2858633556,-23888.5631129053,-0.906632435403109,0.906632435403109,0.94,0,3,TRUE,FALSE,FALSE
1,"Reserve","LSE",TRUE,0.99973585871745,3561.51220562631,-1297.71740929418,-0.358871295503594,0.358871295503594,0.181,23789.0953418595,-23757.3048852723,-0.901650847937042,0.901650847937042,0.96,0,3,FALSE,TRUE,TRUE
1,"Reserve","Huber",TRUE,1.00104181629651,2951.86851556772,-2455.31718320273,-0.678994403633261,0.678994403633261,0.518,25139.3426117946,-25139.3426117946,-0.954102735641371,0.954102735641371,1,0,3,FALSE,FALSE,FALSE
1,"Reserve","L1",TRUE,1.00123236788859,2951.73631818236,-2422.92211875303,-0.670035859451201,0.670035859451201,0.499,25170.5933824264,-25170.5933824264,-0.955288782795076,0.955288782795076,1,0,3,FALSE,FALSE,FALSE
1,"TailReserve","PMM-auto",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,"TailReserve","PMM-relaxed",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,"TailReserve","LSE",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,"TailReserve","Huber",TRUE,1.00109947363041,2951.83671002265,-2454.31316682964,-0.678716752540705,0.678716752540705,0.532,25134.1071080488,-25134.1071080488,-0.95390403480327,0.95390403480327,1,0,3,FALSE,FALSE,FALSE
1,"TailReserve","L1",TRUE,1.00113060749481,2932.11880584814,-2441.77163634659,-0.675248512645165,0.675248512645165,0.497,25164.7519915869,-25164.7519915869,-0.95506708698282,0.95506708698282,1,0,3,FALSE,FALSE,FALSE
2,"MSE","PMM-auto",TRUE,1.00795285256464,2391.51046130852,19.1621253000652,0.00809017724100736,0.00809017724100736,0.215,11166.9067477126,-11152.7650848669,-0.824560252922337,0.824560252922337,0.99,0,3,FALSE,TRUE,FALSE
2,"MSE","PMM-relaxed",TRUE,1.00795285256464,2391.51046130852,19.1621253000652,0.00809017724100736,0.00809017724100736,0.215,11166.9067477126,-11152.7650848669,-0.824560252922337,0.824560252922337,0.99,0,3,FALSE,TRUE,FALSE
2,"MSE","LSE",TRUE,1.00659593703169,2366.39077296828,22.7522766269332,0.00960592563016371,0.00960592563016371,0.199,11065.0653626126,-11057.3411547271,-0.817505250923089,0.817505250923089,0.99,0,3,FALSE,FALSE,TRUE
2,"MSE","Huber",TRUE,1.00585160096924,1729.16094386109,-1225.39135295604,-0.517355621037366,0.517355621037366,0.54,12345.7141137585,-12345.7141137585,-0.912758860666805,0.912758860666805,1,0,3,FALSE,FALSE,FALSE
2,"MSE","L1",TRUE,1.00560245145533,1707.36542281446,-1196.8621371445,-0.505310693408093,0.505310693408093,0.516,12341.8291040303,-12341.8291040303,-0.912471629242157,0.912471629242157,1,0,3,TRUE,FALSE,FALSE
2,"Reserve","PMM-auto",TRUE,1.00526324700302,2381.62415251163,3.04060717286689,0.00128373291394346,0.00128373291394346,0.194,11313.9607066537,-11303.7272129603,-0.835721374812311,0.835721374812311,0.99,0.277777777777778,3,TRUE,TRUE,FALSE
2,"Reserve","PMM-relaxed",TRUE,1.00526324700302,2381.62415251163,3.04060717286689,0.00128373291394346,0.00128373291394346,0.194,11313.9607066537,-11303.7272129603,-0.835721374812311,0.835721374812311,0.99,0.277777777777778,3,TRUE,TRUE,FALSE
2,"Reserve","LSE",TRUE,1.01073869255083,2421.41037978036,29.6626572713167,0.0125234623511903,0.0125234623511903,0.207,11317.3577242932,-11296.9316508407,-0.835218956768223,0.835218956768223,0.99,0,3,FALSE,FALSE,TRUE
2,"Reserve","Huber",TRUE,1.00576844821908,1721.4111833615,-1231.66537522651,-0.520004489646005,0.520004489646005,0.55,12363.469596546,-12363.469596546,-0.914071581347873,0.914071581347873,1,0,3,FALSE,FALSE,FALSE
2,"Reserve","L1",TRUE,1.00557880373837,1706.26348711368,-1185.438668199,-0.500487747778161,0.500487747778161,0.529,12326.5540416733,-12326.5540416733,-0.911342294123494,0.911342294123494,1,0,3,FALSE,FALSE,FALSE
2,"TailReserve","PMM-auto",TRUE,0.997963314702174,2298.56030349614,6.97625001875153,0.00294534652317902,0.00294534652317902,0.188,10965.0636046672,-10960.0460075422,-0.810311903752194,0.810311903752194,0.99,0.277777777777778,3,TRUE,FALSE,TRUE
2,"TailReserve","PMM-relaxed",TRUE,0.997963314702174,2298.56030349614,6.97625001875153,0.00294534652317902,0.00294534652317902,0.188,10965.0636046672,-10960.0460075422,-0.810311903752194,0.810311903752194,0.99,0.277777777777778,3,TRUE,FALSE,TRUE
2,"TailReserve","LSE",TRUE,1.00461607430366,2387.81787679554,-1.76390606977781,-0.000744714509353095,0.000744714509353095,0.207,11225.9784618221,-11171.7115975659,-0.825961030324556,0.825961030324556,0.97,0,3,FALSE,TRUE,FALSE
2,"TailReserve","Huber",TRUE,1.0056257125768,1719.5844680898,-1234.32609435659,-0.521127835256879,0.521127835256879,0.548,12363.8542254158,-12363.8542254158,-0.914100018213145,0.914100018213145,1,0,3,FALSE,FALSE,FALSE
2,"TailReserve","L1",TRUE,1.00555663369323,1709.73998550267,-1184.53666280859,-0.500106924494391,0.500106924494391,0.527,12323.0386449962,-12323.0386449962,-0.911082389395735,0.911082389395735,1,0,3,FALSE,FALSE,FALSE
3,"MSE","PMM-auto",TRUE,1.44850524813812,4287.13392915517,527.213621395946,0.189059366702679,0.189059366702679,0.288,18213.1165840334,-14578.2387053328,-0.809168077511725,0.809168077511725,0.95,0,3,FALSE,FALSE,FALSE
3,"MSE","PMM-relaxed",TRUE,1.49598126480728,4107.38870583923,510.25987683506,0.182979735828511,0.182979735828511,0.24,16918.6310910877,-14383.1818801883,-0.798341409119338,0.798341409119338,0.89,0,3,FALSE,TRUE,TRUE
3,"MSE","LSE",TRUE,1.44850524813812,4287.13392915517,527.213621395946,0.189059366702679,0.189059366702679,0.288,18213.1165840334,-14578.2387053328,-0.809168077511725,0.809168077511725,0.95,0,3,FALSE,FALSE,FALSE
3,"MSE","Huber",TRUE,1.00572511864112,2142.3751557769,-1645.09594651821,-0.589933160282097,0.589933160282097,0.526,16840.8275494913,-16840.8275494913,-0.934753527320385,0.934753527320385,1,0,3,FALSE,FALSE,FALSE
3,"MSE","L1",TRUE,1.00571265443953,2127.91845360067,-1619.49964505561,-0.58075429928902,0.58075429928902,0.502,16836.2145516597,-16836.2145516597,-0.934497481946016,0.934497481946016,1,0,3,TRUE,FALSE,FALSE
3,"Reserve","PMM-auto",TRUE,1.38072649575861,4248.58079815557,611.191919142757,0.219174073805167,0.219174073805167,0.265,16632.9404912425,-14874.4470444632,-0.825609181074489,0.825609181074489,0.87,0,3,FALSE,TRUE,TRUE
3,"Reserve","PMM-relaxed",TRUE,1.38072649575861,4248.58079815557,611.191919142757,0.219174073805167,0.219174073805167,0.265,16632.9404912425,-14874.4470444632,-0.825609181074489,0.825609181074489,0.87,0,3,FALSE,TRUE,TRUE
3,"Reserve","LSE",TRUE,1.38072649575861,4248.58079815557,611.191919142757,0.219174073805167,0.219174073805167,0.265,16632.9404912425,-14874.4470444632,-0.825609181074489,0.825609181074489,0.87,0,3,FALSE,TRUE,TRUE
3,"Reserve","Huber",TRUE,1.00567886891727,2142.61863052385,-1638.88012348134,-0.587704159514299,0.587704159514299,0.532,16819.419615649,-16819.419615649,-0.933565275637806,0.933565275637806,1,0,3,TRUE,FALSE,FALSE
3,"Reserve","L1",TRUE,1.0058386277091,2131.89349827634,-1605.29959069091,-0.575662144654954,0.575662144654954,0.494,16840.150630331,-16840.150630331,-0.93471595478596,0.93471595478596,1,0,3,FALSE,FALSE,FALSE
3,"TailReserve","PMM-auto",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,"TailReserve","PMM-relaxed",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,"TailReserve","LSE",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,"TailReserve","Huber",TRUE,1.00568410736722,2144.14051964491,-1639.3055339122,-0.587856712148341,0.587856712148341,0.536,16822.4308278116,-16822.4308278116,-0.933732413575782,0.933732413575782,1,0,3,TRUE,FALSE,FALSE
3,"TailReserve","L1",TRUE,1.00617436641538,2142.43496057426,-1598.55157118498,-0.573242297665967,0.573242297665967,0.486,16845.3001001715,-16845.3001001715,-0.935001777147311,0.935001777147311,1,0,3,FALSE,FALSE,FALSE
4,"MSE","PMM-auto",TRUE,0.998859484941226,3825.27948616851,-1357.33988987786,-0.36047465632571,0.36047465632571,0.196,25334.2936546663,-25268.3251033748,-0.911035565302022,0.911035565302022,0.97,0.111111111111111,3,FALSE,FALSE,TRUE
4,"MSE","PMM-relaxed",TRUE,0.998859484941226,3825.27948616851,-1357.33988987786,-0.36047465632571,0.36047465632571,0.196,25334.2936546663,-25268.3251033748,-0.911035565302022,0.911035565302022,0.97,0.111111111111111,3,FALSE,FALSE,TRUE
