"candidate","rep","arm","ok","nrmse","mae","bias","reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","tail_under_rate","pmm2_share","pmm3_share","layers","nrmse_winner","reserve_winner"
"fremtpl2_severity_raw",1,"PMM-auto",TRUE,1.0091617632307,3428.72180394003,1357.24519205824,0.551467099077275,0.105,10360.1990522809,-10272.9326927098,-0.718533552778805,0.92,0.333333333333333,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"PMM-relaxed",TRUE,1.0091617632307,3428.72180394003,1357.24519205824,0.551467099077275,0.105,10360.1990522809,-10272.9326927098,-0.718533552778805,0.92,0.333333333333333,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"PMM2-forced",TRUE,1.0091617632307,3428.72180394003,1357.24519205824,0.551467099077275,0.105,10360.1990522809,-10272.9326927098,-0.718533552778805,0.92,0.333333333333333,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"LSE",TRUE,1.00820003648823,3457.04086555742,1359.35005404636,0.552322333003607,0.112,10456.5370899285,-10455.9747392875,-0.731336308911793,0.99,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"ridge-LSE",TRUE,1.00820003648823,3457.04086555741,1359.35005404635,0.552322333003555,0.112,10456.5370899285,-10455.9747392874,-0.731336308911792,0.99,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"Huber",TRUE,1.00731500946525,1800.60877557396,-1306.50140418472,-0.53084921097678,0.54,13097.4179650627,-13097.4179650627,-0.916090326313922,1,0,0,3,TRUE,FALSE
"fremtpl2_severity_raw",1,"L1",TRUE,1.00736197824285,1787.47975610558,-1288.01992274534,-0.523339934822653,0.512,13120.3022977317,-13120.3022977317,-0.917690955982927,1,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",2,"PMM-auto",TRUE,1.15158042576786,4041.09642738627,123.645178628761,0.0437928743968645,0.23,16414.5757916505,-15305.2964009274,-0.843755402627285,0.98,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",2,"PMM-relaxed",TRUE,1.1148131390008,3680.29474182432,194.745593053367,0.0689753485781734,0.212,16335.7255220463,-14784.5665228733,-0.815048435025471,0.94,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",2,"PMM2-forced",TRUE,1.1148131390008,3680.29474182432,194.745593053367,0.0689753485781734,0.212,16335.7255220463,-14784.5665228733,-0.815048435025471,0.94,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",2,"LSE",TRUE,1.15848290666576,3751.13843732304,51.3078269041656,0.0181722995114628,0.2,16599.837622108,-14908.1407653933,-0.821860876419649,0.98,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",2,"ridge-LSE",TRUE,1.15848290666059,3751.13843731525,51.3078269104853,0.0181722995137017,0.2,16599.8376221066,-14908.1407653919,-0.82186087641957,0.98,0,0,3,FALSE,FALSE
