"rep","tail_weight","estimator","claim_decile","n","observed_sum","predicted_sum","reserve_error","observed_mean","predicted_mean"
1,1,"PMM-auto",1,100,9250.61,240734.185401186,25.0236011896714,92.5061,2407.34185401186
1,1,"PMM-auto",2,100,37846.04,212971.916312144,4.62732365954651,378.4604,2129.71916312144
1,1,"PMM-auto",3,100,70902.81,229108.622332135,2.23130525196583,709.0281,2291.08622332135
1,1,"PMM-auto",4,100,108532.24,203582.198186678,0.875776250325969,1085.3224,2035.82198186678
1,1,"PMM-auto",5,100,115052.28,230608.149311191,1.0043770476447,1150.5228,2306.08149311191
1,1,"PMM-auto",6,100,118844.61,259711.962797494,1.18530703914544,1188.4461,2597.11962797494
1,1,"PMM-auto",7,100,122846.47,231877.155940126,0.887536173730721,1228.4647,2318.77155940126
1,1,"PMM-auto",8,100,153642.53,262016.105483352,0.705361825813154,1536.4253,2620.16105483352
1,1,"PMM-auto",9,100,244323.07,189911.633928787,-0.222702817508036,2443.2307,1899.11633928787
1,1,"PMM-auto",10,100,2634867.47,246011.158709473,-0.906632435403109,26348.6747,2460.11158709473
1,1,"PMM-relaxed",1,100,9250.61,240734.185401186,25.0236011896714,92.5061,2407.34185401186
1,1,"PMM-relaxed",2,100,37846.04,212971.916312144,4.62732365954651,378.4604,2129.71916312144
1,1,"PMM-relaxed",3,100,70902.81,229108.622332135,2.23130525196583,709.0281,2291.08622332135
1,1,"PMM-relaxed",4,100,108532.24,203582.198186678,0.875776250325969,1085.3224,2035.82198186678
1,1,"PMM-relaxed",5,100,115052.28,230608.149311191,1.0043770476447,1150.5228,2306.08149311191
1,1,"PMM-relaxed",6,100,118844.61,259711.962797494,1.18530703914544,1188.4461,2597.11962797494
1,1,"PMM-relaxed",7,100,122846.47,231877.155940126,0.887536173730721,1228.4647,2318.77155940126
1,1,"PMM-relaxed",8,100,153642.53,262016.105483352,0.705361825813154,1536.4253,2620.16105483352
1,1,"PMM-relaxed",9,100,244323.07,189911.633928787,-0.222702817508036,2443.2307,1899.11633928787
