"tail_weight","estimator","claim_decile","observed_sum_mean","predicted_sum_mean","reserve_error_mean","observed_mean","predicted_mean"
1,"Huber",1,8370.2,113445.4,12.697,83.7,1134.5
1,"Huber",2,36026,117179.5,2.26,360.3,1171.8
1,"Huber",3,66192.5,115595.5,0.748,661.9,1156
1,"Huber",4,105339.3,114424.9,0.087,1053.4,1144.2
1,"Huber",5,115079.1,114529.9,-0.005,1150.8,1145.3
1,"Huber",6,118658.4,114171.7,-0.038,1186.6,1141.7
1,"Huber",7,122862.8,116318.9,-0.053,1228.6,1163.2
1,"Huber",8,156280.2,118219,-0.241,1562.8,1182.2
1,"Huber",9,249594.9,116912.6,-0.531,2495.9,1169.1
1,"Huber",10,2084172,120194.1,-0.939,20841.7,1201.9
1,"L1",1,8370.2,118650.2,13.306,83.7,1186.5
1,"L1",2,36026,119343.5,2.319,360.3,1193.4
1,"L1",3,66192.5,117455.5,0.776,661.9,1174.6
1,"L1",4,105339.3,118369.2,0.124,1053.4,1183.7
1,"L1",5,115079.1,118381,0.029,1150.8,1183.8
1,"L1",6,118658.4,118582,-0.001,1186.6,1185.8
1,"L1",7,122862.8,117774.2,-0.041,1228.6,1177.7
1,"L1",8,156280.2,117624.4,-0.246,1562.8,1176.2
1,"L1",9,249594.9,119729.6,-0.519,2495.9,1197.3
1,"L1",10,2084172,118676.8,-0.94,20841.7,1186.8
1,"LSE",1,8370.2,297677.4,34.89,83.7,2976.8
1,"LSE",2,36026,327595.2,8.188,360.3,3276
1,"LSE",3,66192.5,294214.7,3.456,661.9,2942.1
1,"LSE",4,105339.3,254745.8,1.419,1053.4,2547.5
1,"LSE",5,115079.1,297099.1,1.583,1150.8,2971
1,"LSE",6,118658.4,263425.9,1.22,1186.6,2634.3
1,"LSE",7,122862.8,263859.3,1.148,1228.6,2638.6
1,"LSE",8,156280.2,279621.7,0.8,1562.8,2796.2
1,"LSE",9,249594.9,296262.2,0.193,2495.9,2962.6
1,"LSE",10,2084172,335359.4,-0.83,20841.7,3353.6
1,"PMM-auto",1,8370.2,282490.4,33.335,83.7,2824.9
