"rep","tail_weight","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
1,1,"PMM-auto",TRUE,0.999616927343917,3703.78633336738,-1309.57504159743,-0.3621504099208,0.3621504099208,0.244,24140.2858633556,-23888.5631129053,-0.906632435403109,0.906632435403109,0.94,0,3,TRUE,FALSE,FALSE
1,1,"PMM-relaxed",TRUE,0.999616927343917,3703.78633336738,-1309.57504159743,-0.3621504099208,0.3621504099208,0.244,24140.2858633556,-23888.5631129053,-0.906632435403109,0.906632435403109,0.94,0,3,TRUE,FALSE,FALSE
1,1,"LSE",TRUE,0.99973585871745,3561.51220562631,-1297.71740929418,-0.358871295503594,0.358871295503594,0.181,23789.0953418595,-23757.3048852723,-0.901650847937042,0.901650847937042,0.96,0,3,FALSE,TRUE,TRUE
1,1,"Huber",TRUE,1.00104181629651,2951.86851556772,-2455.31718320273,-0.678994403633261,0.678994403633261,0.518,25139.3426117946,-25139.3426117946,-0.954102735641371,0.954102735641371,1,0,3,FALSE,FALSE,FALSE
1,1,"L1",TRUE,1.00123236788859,2951.73631818236,-2422.92211875303,-0.670035859451201,0.670035859451201,0.499,25170.5933824264,-25170.5933824264,-0.955288782795076,0.955288782795076,1,0,3,FALSE,FALSE,FALSE
1,2,"PMM-auto",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,2,"PMM-relaxed",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,2,"LSE",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,2,"Huber",TRUE,1.00104181629651,2951.86851556772,-2455.31718320273,-0.678994403633261,0.678994403633261,0.518,25139.3426117946,-25139.3426117946,-0.954102735641371,0.954102735641371,1,0,3,FALSE,FALSE,FALSE
1,2,"L1",TRUE,1.00112892389671,2934.0732226808,-2438.39283786779,-0.674314138351773,0.674314138351773,0.485,25159.2063458237,-25159.2063458237,-0.95485661545716,0.95485661545716,1,0,3,FALSE,FALSE,FALSE
1,4,"PMM-auto",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,4,"PMM-relaxed",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,4,"LSE",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,4,"Huber",TRUE,1.00109947363041,2951.83671002265,-2454.31316682964,-0.678716752540705,0.678716752540705,0.532,25134.1071080488,-25134.1071080488,-0.95390403480327,0.95390403480327,1,0,3,FALSE,FALSE,FALSE
1,4,"L1",TRUE,1.00113060749481,2932.11880584814,-2441.77163634659,-0.675248512645165,0.675248512645165,0.497,25164.7519915869,-25164.7519915869,-0.95506708698282,0.95506708698282,1,0,3,FALSE,FALSE,FALSE
1,8,"PMM-auto",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,8,"PMM-relaxed",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,8,"LSE",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,8,"Huber",TRUE,1.00109947363041,2951.83671002265,-2454.31316682964,-0.678716752540704,0.678716752540704,0.532,25134.1071080488,-25134.1071080488,-0.95390403480327,0.95390403480327,1,0,3,FALSE,FALSE,FALSE
1,8,"L1",TRUE,1.00113417477544,2932.71138569464,-2439.3554700306,-0.674580345038134,0.674580345038134,0.497,25164.6806513238,-25164.6806513238,-0.955064379436278,0.955064379436278,1,0,3,FALSE,FALSE,FALSE
1,16,"PMM-auto",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,16,"PMM-relaxed",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,16,"LSE",TRUE,0.999832493068104,3550.71348763443,-1298.55061971582,-0.359101711849483,0.359101711849483,0.178,23780.6129015881,-23745.7505906531,-0.901212332727048,0.901212332727048,0.96,0,3,TRUE,TRUE,TRUE
1,16,"Huber",TRUE,1.00109947363041,2951.83671002265,-2454.31316682964,-0.678716752540704,0.678716752540704,0.532,25134.1071080488,-25134.1071080488,-0.95390403480327,0.95390403480327,1,0,3,FALSE,FALSE,FALSE
1,16,"L1",TRUE,1.00113417477544,2932.71138569464,-2439.3554700306,-0.674580345038134,0.674580345038134,0.497,25164.6806513238,-25164.6806513238,-0.955064379436278,0.955064379436278,1,0,3,FALSE,FALSE,FALSE
2,1,"PMM-auto",TRUE,1.00526324700302,2381.62415251163,3.04060717286689,0.00128373291394346,0.00128373291394346,0.194,11313.9607066537,-11303.7272129603,-0.835721374812311,0.835721374812311,0.99,0.277777777777778,3,TRUE,TRUE,FALSE
2,1,"PMM-relaxed",TRUE,1.00526324700302,2381.62415251163,3.04060717286689,0.00128373291394346,0.00128373291394346,0.194,11313.9607066537,-11303.7272129603,-0.835721374812311,0.835721374812311,0.99,0.277777777777778,3,TRUE,TRUE,FALSE
2,1,"LSE",TRUE,1.01073869255083,2421.41037978036,29.6626572713167,0.0125234623511903,0.0125234623511903,0.207,11317.3577242932,-11296.9316508407,-0.835218956768223,0.835218956768223,0.99,0,3,FALSE,FALSE,TRUE
