"tail_weight","estimator","nrmse_mean","mae_mean","bias_mean","reserve_error_mean","abs_reserve_error_mean","tail_reserve_error_mean","abs_tail_reserve_error_mean","nrmse_win_rate","reserve_win_rate","tail_reserve_win_rate","pmm2_share"
1,"Huber",1.004,2419.4,-1901.6,-0.612,0.612,-0.939,0.939,0.4,0,0,0
1,"L1",1.004,2407,-1878,-0.604,0.604,-0.94,0.94,0,0,0,0
1,"PMM-relaxed",1.07,3763.6,-202.1,-0.033,0.254,-0.85,0.85,0.6,0.5,0.4,0.067
1,"PMM-auto",1.088,3817,-180.5,-0.025,0.261,-0.831,0.831,0.6,0.4,0.5,0.067
1,"LSE",1.098,3818.1,-152.7,-0.016,0.257,-0.83,0.83,0,0.7,0.8,0
2,"Huber",1.004,2419.1,-1901.5,-0.612,0.612,-0.939,0.939,0.2,0,0,0
2,"L1",1.005,2410,-1876.4,-0.604,0.604,-0.94,0.94,0.1,0,0,0
2,"PMM-auto",1.045,3744.4,-230,-0.043,0.249,-0.83,0.83,0.5,0.4,0.7,0.089
2,"LSE",1.046,3787.1,-196.1,-0.032,0.249,-0.832,0.832,0.3,0.8,0.7,0
2,"PMM-relaxed",1.048,3729.2,-233.3,-0.044,0.248,-0.833,0.833,0.5,0.5,0.6,0.089
4,"Huber",1.004,2419.3,-1901.6,-0.612,0.612,-0.939,0.939,0.2,0,0,0
4,"L1",1.004,2417.4,-1871.2,-0.602,0.602,-0.94,0.94,0.1,0,0,0
4,"LSE",1.045,3775.8,-201.9,-0.034,0.25,-0.831,0.831,0.4,0.8,0.7,0
4,"PMM-auto",1.045,3742.9,-220.5,-0.04,0.251,-0.828,0.828,0.4,0.4,0.7,0.094
4,"PMM-relaxed",1.048,3727.8,-223.7,-0.041,0.25,-0.831,0.831,0.4,0.5,0.6,0.094
8,"Huber",1.004,2419.5,-1901.9,-0.612,0.612,-0.939,0.939,0.2,0,0,0
8,"L1",1.005,2415.3,-1880.7,-0.605,0.605,-0.94,0.94,0.1,0,0,0
8,"LSE",1.046,3771.5,-214.4,-0.038,0.25,-0.825,0.825,0.3,0.6,0.7,0
8,"PMM-auto",1.048,3765.9,-211.9,-0.037,0.248,-0.824,0.824,0.5,0.6,0.7,0.094
8,"PMM-relaxed",1.049,3769.7,-219.1,-0.039,0.246,-0.826,0.826,0.5,0.7,0.6,0.094
16,"Huber",1.004,2419.4,-1902.5,-0.613,0.613,-0.939,0.939,0.2,0,0,0
16,"L1",1.004,2406.4,-1887.4,-0.608,0.608,-0.94,0.94,0.2,0,0,0
16,"LSE",1.046,3771.5,-214.4,-0.038,0.25,-0.825,0.825,0.3,0.7,0.7,0
16,"PMM-auto",1.05,3781.3,-214.1,-0.038,0.25,-0.821,0.821,0.4,0.6,0.8,0.078
16,"PMM-relaxed",1.051,3785.1,-221.3,-0.04,0.247,-0.823,0.823,0.4,0.7,0.7,0.078
