"target","feature_set","n_features","method","criterion_label","criterion_type","tail_weight","train_years","validation_year","test_year","n_train","n_val","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error"
"CO","full_arx",20,"L1","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.550217179301742,0.631756431801591,-0.30379948627829,0.717014359252235,-0.0970931653208787,5.36365,739,0.939094645039315,1.48264261127384,-1.16833812195622,0.745602165087957,-0.14345434593212,7.078395,370,1.14773591415983,2.20742029627425,-2.04325212164161,0.908108108108108,-0.20016503085173
"CO","full_arx",20,"Huber","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.562337096501289,0.679207341104439,-0.301653222059571,0.718639934976971,-0.0964072274045168,5.36365,739,0.923438317602304,1.40991885266214,-0.577436555174085,0.503382949932341,-0.0709005225311815,7.078395,370,1.113484621099,1.89313184060826,-1.26898401416793,0.64054054054054,-0.12431467544113
"CO","full_arx",20,"LSE","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,1.12845222832333,1.19928192025925,-0.979519623397501,0.900568951503658,-0.31305076218088,5.36365,739,1.2058001948926,2.20161859250767,-1.77566291047009,0.921515561569689,-0.218024693905309,7.078395,370,1.45635845081289,2.97958963282728,-2.31410135794956,0.908108108108108,-0.226698489531411
"CO","full_arx",20,"PMM","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,2.11185087702694,0.911981230833013,-0.0325033205017873,0.696830127336765,-0.0103879381417645,5.36365,739,2.3099137803836,2.40047147051541,0.545869863342923,0.415426251691475,0.0670246076356724,7.078395,370,2.86588075009285,3.4150709452865,0.292466208461412,0.608108108108108,0.0286511424702371
"CO","full_arx",20,"L1","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.544910301913715,0.613133169622731,-0.258913074456843,0.70251964237334,-0.0827476380883296,5.36365,739,0.921516931705923,1.3841003493812,-0.922859119888022,0.677943166441137,-0.113313217246872,7.078395,370,1.11650489059593,1.98475305583369,-1.60351575706151,0.789189189189189,-0.157086723456123
"CO","full_arx",20,"Huber","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.555462110075509,0.645958893509317,-0.254527249453347,0.703738824166892,-0.0813459450264032,5.36365,739,0.923027940961751,1.40534711311722,-0.602318750058631,0.519621109607578,-0.0739556817572963,7.078395,370,1.11021226001832,1.90963285575894,-1.24195257913416,0.637837837837838,-0.121666569526939
"CO","full_arx",20,"PMM","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,2,18,1,0,0.562888724992801,0.66499388036986,-0.157900850386076,0.649823895963154,-0.0504645138102696,5.36365,739,0.940493963384841,1.50342939288012,-0.387829844354639,0.416779431664411,-0.0476196707180081,7.078395,370,1.13442912532221,1.8942277425451,-1.29054133169885,0.597297297297297,-0.126426515229745
"CO","full_arx",20,"LSE","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.618462645127519,0.864906401148931,-0.339239422221116,0.736656732592793,-0.108419634636585,5.36365,739,0.924833529153261,1.57397567760492,-0.0440096141398797,0.358592692828146,-0.00540371857471367,7.078395,370,1.08151337714506,1.76803156829251,-0.914195645779054,0.527027027027027,-0.0895582085557135
"CO","input_lags",18,"Huber","MSE","MSE",0,"2011-2013",2014,2015,22188,7157,7383,3,3,18,0,0,0.690084735166831,0.990791310254968,-0.79931968428012,0.833265610185561,-0.255422620522666,5.36448,739,1.02070668316202,1.98609928264112,-1.80599182992092,0.939106901217862,-0.221707946402415,7.07799,370,1.2152386689565,2.65143420234963,-2.48765318548295,0.951351351351351,-0.243700310571823
"CO","input_lags",18,"L1","MSE","MSE",0,"2011-2013",2014,2015,22188,7157,7383,3,3,18,0,0,0.720662216839724,1.04359248199256,-0.889029794682978,0.851144521197345,-0.284089488031515,5.36448,739,1.06601524082804,2.22946974823978,-2.0567680648682,0.959404600811908,-0.252493846502042,7.07799,370,1.25842935275917,2.9268214778954,-2.74227211471432,0.962162162162162,-0.268643784402202
