"method","feature_set","criterion_label","emission_decile","n","observed_sum","predicted_sum","reserve_error","observed_mean","predicted_mean"
"PMM","static","MSE",1,738,825.00242,682.13186768575,-0.173175919064879,1.11788945799458,0.924297923693428
"PMM","static","MSE",2,738,1155.7488,744.250229610647,-0.356044990390086,1.56605528455285,1.00846914581388
"PMM","static","MSE",3,739,1333.8349,840.708277049488,-0.369705893098547,1.80491867388363,1.13762960358523
"PMM","static","MSE",4,738,1491.2963,941.848820795223,-0.368436157995414,2.02072669376694,1.27621791435667
"PMM","static","MSE",5,739,1723.7011,978.289127239979,-0.432448510220258,2.33247780784844,1.32380125472257
"PMM","static","MSE",6,738,2022.7666,1013.97406279821,-0.498719198350315,2.74087615176152,1.37394859457752
"PMM","static","MSE",7,738,2371.0939,1338.72826920532,-0.435396350517658,3.21286436314363,1.81399494472265
"PMM","static","MSE",8,739,2748.9145,1794.6406514001,-0.347145700093584,3.71977604871448,2.42847178809215
"PMM","static","MSE",9,738,3417.6132,2698.93060327097,-0.21028786895165,4.63091219512195,3.65708753830754
"PMM","static","MSE",10,739,6021.8415,4283.61572615615,-0.288653524647543,8.1486353179973,5.79650301238992
"LSE","static","MSE",1,738,825.00242,654.420665900856,-0.206765156033293,1.11788945799458,0.886748869784357
"LSE","static","MSE",2,738,1155.7488,717.419509716782,-0.379260000341958,1.56605528455285,0.972113156797807
"LSE","static","MSE",3,739,1333.8349,792.880175996763,-0.405563480160277,1.80491867388363,1.07290957509711
"LSE","static","MSE",4,738,1491.2963,899.243493750111,-0.397005481908517,2.02072669376694,1.21848711890259
"LSE","static","MSE",5,739,1723.7011,951.340986753892,-0.44808239273393,2.33247780784844,1.28733557070892
"LSE","static","MSE",6,738,2022.7666,1144.18748852738,-0.434345273188027,2.74087615176152,1.55038955085011
"LSE","static","MSE",7,738,2371.0939,1338.1549215796,-0.43563815773825,3.21286436314363,1.81321805092086
"LSE","static","MSE",8,739,2748.9145,1809.94344455715,-0.341578850649177,3.71977604871448,2.44917922132225
"LSE","static","MSE",9,738,3417.6132,2858.49312452382,-0.163599577470083,4.63091219512195,3.87329691669895
"LSE","static","MSE",10,739,6021.8415,4688.40121763209,-0.221433972044584,8.1486353179973,6.34425063279037
"Huber","static","MSE",1,738,825.00242,781.89297843546,-0.052253715285514,1.11788945799458,1.05947558053585
"Huber","static","MSE",2,738,1155.7488,837.084874959411,-0.275720749215218,1.56605528455285,1.13426134818348
"Huber","static","MSE",3,739,1333.8349,886.777518721368,-0.335166954529852,1.80491867388363,1.19996957878399
"Huber","static","MSE",4,738,1491.2963,944.135051518405,-0.366903108712597,2.02072669376694,1.27931578796532
"Huber","static","MSE",5,739,1723.7011,959.498080739154,-0.443350079234065,2.33247780784844,1.29837358692714
"Huber","static","MSE",6,738,2022.7666,1009.36985878835,-0.500995389785283,2.74087615176152,1.36770983575657
"Huber","static","MSE",7,738,2371.0939,1258.35694002144,-0.469292658539823,3.21286436314363,1.7050907046361
"Huber","static","MSE",8,739,2748.9145,1674.06077798029,-0.391010241322423,3.71977604871448,2.26530551824127
"Huber","static","MSE",9,738,3417.6132,2604.1479512995,-0.238021449794405,4.63091219512195,3.52865576056844
"Huber","static","MSE",10,739,6021.8415,4364.69897625386,-0.275188665086277,8.1486353179973,5.90622324256272
"L1","static","MSE",1,738,825.00242,866.003592590041,0.049698245236713,1.11788945799458,1.17344660242553
"L1","static","MSE",2,738,1155.7488,902.069724947213,-0.219493262768507,1.56605528455285,1.22231670047048
"L1","static","MSE",3,739,1333.8349,940.211346672143,-0.295106653250605,1.80491867388363,1.27227516464431
"L1","static","MSE",4,738,1491.2963,996.591344373763,-0.331728145256068,2.02072669376694,1.3503947755742
"L1","static","MSE",5,739,1723.7011,1028.57610564319,-0.403274671204197,2.33247780784844,1.39184858679727
"L1","static","MSE",6,738,2022.7666,1096.39316036955,-0.457973470409512,2.74087615176152,1.48562758857662
"L1","static","MSE",7,738,2371.0939,1325.56912638804,-0.440946169872041,3.21286436314363,1.79616412789707
"L1","static","MSE",8,739,2748.9145,1751.71571794215,-0.362760930562899,3.71977604871448,2.37038662779723
"L1","static","MSE",9,738,3417.6132,2789.55727845275,-0.183770334673113,4.63091219512195,3.7798879111826
"L1","static","MSE",10,739,6021.8415,5180.48524146002,-0.139717436691082,8.1486353179973,7.01012887883629
"PMM","arx","MSE",1,738,825.00242,940.135960267082,0.139555397021844,1.11788945799458,1.27389696513155
"PMM","arx","MSE",2,738,1155.7488,1038.17705836412,-0.101727764403369,1.56605528455285,1.4067439815232
"PMM","arx","MSE",3,738,1331.9249,1126.10094159732,-0.154531203976046,1.80477628726287,1.52588203468472
"PMM","arx","MSE",4,738,1491.0544,1266.90918486222,-0.15032665148755,2.02039891598916,1.71667911227943
"PMM","arx","MSE",5,739,1723.32,1460.11477551967,-0.152731486015557,2.33196211096076,1.97579807242175
"PMM","arx","MSE",6,738,2022.3448,1947.23651702775,-0.0371392074053108,2.74030460704607,2.63853186589126
"PMM","arx","MSE",7,738,2370.5798,2033.60119597423,-0.142150289151103,3.21216775067751,2.75555717611685
"PMM","arx","MSE",8,738,2744.2957,2593.39234310487,-0.0549880090892305,3.71855785907859,3.51408176572475
"PMM","arx","MSE",9,738,3414.9723,4030.23780232811,0.180167055038225,4.6273337398374,5.46102683242292
"PMM","arx","MSE",10,739,6018.6526,6422.05042901042,0.0670246076356724,8.1443201623816,8.69019002572452
"LSE","arx","MSE",1,738,825.00242,654.057260604432,-0.207205646009581,1.11788945799458,0.886256450683512
"LSE","arx","MSE",2,738,1155.7488,717.177701898395,-0.379469222119551,1.56605528455285,0.971785503927364
"LSE","arx","MSE",3,738,1331.9249,791.561432174881,-0.405701153139428,1.80477628726287,1.07257646636163
"LSE","arx","MSE",4,738,1491.0544,899.301326054999,-0.396868869402082,2.02039891598916,1.21856548245935
"LSE","arx","MSE",5,739,1723.32,951.482953063669,-0.447877960527546,2.33196211096076,1.28752767667614
"LSE","arx","MSE",6,738,2022.3448,1143.50407734058,-0.43456522481202,2.74030460704607,1.54946351943168
"LSE","arx","MSE",7,738,2370.5798,1338.98538056709,-0.435165447471082,3.21216775067751,1.81434333410175
"LSE","arx","MSE",8,738,2744.2957,1809.14399852148,-0.340762003700448,3.71855785907859,2.45141463214293
"LSE","arx","MSE",9,738,3414.9723,2855.43002069152,-0.163849727070549,4.6273337398374,3.8691463695007
"LSE","arx","MSE",10,739,6018.6526,4706.43770916261,-0.218024693905309,8.1443201623816,6.36865725191151
"Huber","arx","MSE",1,738,825.00242,933.20556613761,0.13115494393048,1.11788945799458,1.26450618717833
"Huber","arx","MSE",2,738,1155.7488,1039.00196334858,-0.101014023680079,1.56605528455285,1.40786173895471
"Huber","arx","MSE",3,738,1331.9249,1130.03004201967,-0.151581262562423,1.80477628726287,1.53120601899684
"Huber","arx","MSE",4,738,1491.0544,1261.90154733106,-0.153685105432064,2.02039891598916,1.70989369557053
"Huber","arx","MSE",5,739,1723.32,1436.61062296647,-0.166370364780501,2.33196211096076,1.94399272390591
"Huber","arx","MSE",6,738,2022.3448,1655.77440768697,-0.181260085972001,2.74030460704607,2.24359675838343
"Huber","arx","MSE",7,738,2370.5798,1982.70923944618,-0.163618436533467,3.21216775067751,2.68659788542843
"Huber","arx","MSE",8,738,2744.2957,2450.82577885309,-0.10693815580694,3.71855785907859,3.32090213936733
"Huber","arx","MSE",9,738,3414.9723,3389.10548124028,-0.00757453252540841,4.6273337398374,4.59228384991908
"Huber","arx","MSE",10,739,6018.6526,5591.92698572635,-0.0709005225311815,8.1443201623816,7.56688360720751
"L1","arx","MSE",1,738,825.00242,956.119850632425,0.158929752754453,1.11788945799458,1.29555535316047
"L1","arx","MSE",2,738,1155.7488,1081.95940000595,-0.0638455345954484,1.56605528455285,1.46606964770454
"L1","arx","MSE",3,738,1331.9249,1186.10452715874,-0.109480927071235,1.80477628726287,1.60718770617715
"L1","arx","MSE",4,738,1491.0544,1328.92288284395,-0.108736151515366,2.02039891598916,1.80070851333868
"L1","arx","MSE",5,739,1723.32,1519.37727293974,-0.118342923577899,2.33196211096076,2.05599089707678
"L1","arx","MSE",6,738,2022.3448,1750.37708570107,-0.134481377408506,2.74030460704607,2.37178466897164
"L1","arx","MSE",7,738,2370.5798,2063.73730512324,-0.129437741297196,3.21216775067751,2.79639201236211
"L1","arx","MSE",8,738,2744.2957,2496.2162613062,-0.0903982171796566,3.71855785907859,3.38240685813849
"L1","arx","MSE",9,738,3414.9723,3317.182598708,-0.0286355767196117,4.6273337398374,4.49482736952304
"L1","arx","MSE",10,739,6018.6526,5155.25072787435,-0.14345434593212,8.1443201623816,6.97598204042537
"PMM","arx","ReserveTW2",1,738,825.00242,1007.38784736089,0.221072596806314,1.11788945799458,1.36502418341584
"PMM","arx","ReserveTW2",2,738,1155.7488,1116.37943248036,-0.0340639484286172,1.56605528455285,1.51270925810347
"PMM","arx","ReserveTW2",3,738,1331.9249,1206.47426650361,-0.0941874676991057,1.80477628726287,1.63478897900218
"PMM","arx","ReserveTW2",4,738,1491.0544,1336.22340921883,-0.103839934197683,2.02039891598916,1.81060082549977
"PMM","arx","ReserveTW2",5,739,1723.32,1518.77426306541,-0.118692835303128,2.33196211096076,2.05517491619136
"PMM","arx","ReserveTW2",6,738,2022.3448,1739.44723828868,-0.139885919409646,2.74030460704607,2.35697457762694
"PMM","arx","ReserveTW2",7,738,2370.5798,2070.38144038835,-0.126634994363676,3.21216775067751,2.80539490567528
"PMM","arx","ReserveTW2",8,738,2744.2957,2568.27921226358,-0.0641390385651303,3.71855785907859,3.48005313314848
"PMM","arx","ReserveTW2",9,738,3414.9723,3636.87818785834,0.0649802892569105,4.6273337398374,4.9280192247403
"PMM","arx","ReserveTW2",10,739,6018.6526,5732.04634502192,-0.0476196707180081,8.1443201623816,7.75649031802696
"LSE","arx","ReserveTW2",1,738,825.00242,898.893612129793,0.0895648186459779,1.11788945799458,1.21801302456611
"LSE","arx","ReserveTW2",2,738,1155.7488,995.455054460125,-0.138692547671151,1.56605528455285,1.34885508734434
"LSE","arx","ReserveTW2",3,738,1331.9249,1053.17203544357,-0.209285722157781,1.80477628726287,1.42706237864982
"LSE","arx","ReserveTW2",4,738,1491.0544,1154.25483615974,-0.225880131429312,2.02039891598916,1.56403094330589
"LSE","arx","ReserveTW2",5,739,1723.32,1325.78468095595,-0.230679919599405,2.33196211096076,1.79402527869547
"LSE","arx","ReserveTW2",6,738,2022.3448,1548.3499757475,-0.234378837996618,2.74030460704607,2.09803519748983
"LSE","arx","ReserveTW2",7,738,2370.5798,1845.33897043184,-0.221566398890331,3.21216775067751,2.50045930952823
"LSE","arx","ReserveTW2",8,738,2744.2957,2373.94531020177,-0.134952800384533,3.71855785907859,3.21672806260402
"LSE","arx","ReserveTW2",9,738,3414.9723,3605.70068157011,0.0558506379598198,4.6273337398374,4.88577328126032
"LSE","arx","ReserveTW2",10,739,6018.6526,5633.12533186639,-0.0640554113612751,8.1443201623816,7.62263238412233
"Huber","arx","ReserveTW2",1,738,825.00242,933.20556613761,0.13115494393048,1.11788945799458,1.26450618717833
"Huber","arx","ReserveTW2",2,738,1155.7488,1039.00196334858,-0.101014023680079,1.56605528455285,1.40786173895471
"Huber","arx","ReserveTW2",3,738,1331.9249,1130.03004201967,-0.151581262562423,1.80477628726287,1.53120601899684
"Huber","arx","ReserveTW2",4,738,1491.0544,1261.90154733106,-0.153685105432064,2.02039891598916,1.70989369557053
"Huber","arx","ReserveTW2",5,739,1723.32,1436.61062296647,-0.166370364780501,2.33196211096076,1.94399272390591
"Huber","arx","ReserveTW2",6,738,2022.3448,1655.77440768697,-0.181260085972001,2.74030460704607,2.24359675838343
"Huber","arx","ReserveTW2",7,738,2370.5798,1982.70923944618,-0.163618436533467,3.21216775067751,2.68659788542843
"Huber","arx","ReserveTW2",8,738,2744.2957,2450.82577885309,-0.10693815580694,3.71855785907859,3.32090213936733
"Huber","arx","ReserveTW2",9,738,3414.9723,3389.10548124028,-0.00757453252540841,4.6273337398374,4.59228384991908
"Huber","arx","ReserveTW2",10,739,6018.6526,5591.92698572635,-0.0709005225311815,8.1443201623816,7.56688360720751
"L1","arx","ReserveTW2",1,738,825.00242,951.116687652077,0.152865330567245,1.11788945799458,1.28877599952856
"L1","arx","ReserveTW2",2,738,1155.7488,1074.82995890763,-0.0700142116456178,1.56605528455285,1.45640915841142
"L1","arx","ReserveTW2",3,738,1331.9249,1177.31842771375,-0.116077469747918,1.80477628726287,1.59528242237635
"L1","arx","ReserveTW2",4,738,1491.0544,1317.10901277801,-0.116659316535992,2.02039891598916,1.7847005593198
"L1","arx","ReserveTW2",5,739,1723.32,1499.35196071331,-0.129963117289122,2.33196211096076,2.02889304562018
"L1","arx","ReserveTW2",6,738,2022.3448,1723.95627281052,-0.147545822645811,2.74030460704607,2.33598410949935
"L1","arx","ReserveTW2",7,738,2370.5798,2046.77493264924,-0.136593109985479,3.21216775067751,2.7734077678174
"L1","arx","ReserveTW2",8,738,2744.2957,2491.75168972048,-0.092025072327128,3.71855785907859,3.37635730314428
"L1","arx","ReserveTW2",9,738,3414.9723,3377.98942376013,-0.010829627004549,4.6273337398374,4.5772214414094
"L1","arx","ReserveTW2",10,739,6018.6526,5376.95888034758,-0.106617504331854,8.1443201623816,7.27599307218888
"PMM","arx","SpikeTW2",1,738,825.00242,997.571957189424,0.209174583014465,1.11788945799458,1.35172351922686
"PMM","arx","SpikeTW2",2,738,1155.7488,1081.0346147149,-0.0646456957472896,1.56605528455285,1.46481655110421
"PMM","arx","SpikeTW2",3,738,1331.9249,1198.19666640738,-0.100402232582798,1.80477628726287,1.62357271870919
"PMM","arx","SpikeTW2",4,738,1491.0544,1343.03583352961,-0.0992710705058036,2.02039891598916,1.81983175275015
"PMM","arx","SpikeTW2",5,739,1723.32,1460.18802966545,-0.152688978445411,2.33196211096076,1.97589719846475
