"target","feature_set","n_features","method","criterion_label","criterion_type","tail_weight","train_years","validation_year","test_year","n_train","n_val","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error"
"CO","arx",20,"L1","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.550217179301742,0.631756431801591,-0.30379948627829,0.717014359252235,-0.0970931653208787,5.36365,739,0.939094645039315,1.48264261127384,-1.16833812195622,0.745602165087957,-0.14345434593212,7.078395,370,1.14773591415983,2.20742029627425,-2.04325212164161,0.908108108108108,-0.20016503085173
"CO","arx",20,"Huber","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.562337096501289,0.679207341104439,-0.301653222059571,0.718639934976971,-0.0964072274045168,5.36365,739,0.923438317602304,1.40991885266214,-0.577436555174085,0.503382949932341,-0.0709005225311815,7.078395,370,1.113484621099,1.89313184060826,-1.26898401416793,0.64054054054054,-0.12431467544113
"CO","arx",20,"LSE","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,1.12845222832333,1.19928192025925,-0.979519623397501,0.900568951503658,-0.31305076218088,5.36365,739,1.2058001948926,2.20161859250767,-1.77566291047009,0.921515561569689,-0.218024693905309,7.078395,370,1.45635845081289,2.97958963282728,-2.31410135794956,0.908108108108108,-0.226698489531411
"CO","arx",20,"PMM","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,2.11185087702694,0.911981230833013,-0.0325033205017873,0.696830127336765,-0.0103879381417645,5.36365,739,2.3099137803836,2.40047147051541,0.545869863342923,0.415426251691475,0.0670246076356724,7.078395,370,2.86588075009285,3.4150709452865,0.292466208461412,0.608108108108108,0.0286511424702371
"CO","arx",20,"L1","ReserveTW2","reserve-aware",2,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.545760706332336,0.63416632987533,-0.279157203054357,0.706177187753996,-0.0892175849232439,5.36365,739,0.913717566620504,1.34382376855535,-0.868327090192714,0.64276048714479,-0.106617504331854,7.078395,370,1.11290771155527,1.91510923782216,-1.64057619604374,0.82972972972973,-0.160717310124153
"CO","arx",20,"Huber","ReserveTW2","reserve-aware",2,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.562337096501289,0.679207341104439,-0.301653222059571,0.718639934976971,-0.0964072274045168,5.36365,739,0.923438317602304,1.40991885266214,-0.577436555174085,0.503382949932341,-0.0709005225311815,7.078395,370,1.113484621099,1.89313184060826,-1.26898401416793,0.64054054054054,-0.12431467544113
"CO","arx",20,"PMM","ReserveTW2","reserve-aware",2,"2011-2013",2014,2015,22185,7156,7382,3,2,18,1,0,0.562888724992801,0.66499388036986,-0.157900850386076,0.649823895963154,-0.0504645138102696,5.36365,739,0.940493963384841,1.50342939288012,-0.387829844354639,0.416779431664411,-0.0476196707180081,7.078395,370,1.13442912532221,1.8942277425451,-1.29054133169885,0.597297297297297,-0.126426515229745
"CO","arx",20,"LSE","ReserveTW2","reserve-aware",2,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.607936863154502,0.795448004131821,-0.360860909107722,0.747764833378488,-0.115329779964618,5.36365,739,0.941465465537593,1.42868086296413,-0.521687778259267,0.491204330175913,-0.0640554113612751,7.078395,370,1.13451132400502,1.81689984205332,-1.34838207003385,0.705405405405405,-0.13209282192322
"CO","arx",20,"L1","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.544910301913715,0.613133169622731,-0.258913074456843,0.70251964237334,-0.0827476380883296,5.36365,739,0.921516931705923,1.3841003493812,-0.922859119888022,0.677943166441137,-0.113313217246872,7.078395,370,1.11650489059593,1.98475305583369,-1.60351575706151,0.789189189189189,-0.157086723456123
"CO","arx",20,"Huber","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.555462110075509,0.645958893509317,-0.254527249453347,0.703738824166892,-0.0813459450264032,5.36365,739,0.923027940961751,1.40534711311722,-0.602318750058631,0.519621109607578,-0.0739556817572963,7.078395,370,1.11021226001832,1.90963285575894,-1.24195257913416,0.637837837837838,-0.121666569526939
