"method","criterion_label","interval_type","emission_decile","n","observed_mean","predicted_mean","coverage","upper_miss_rate","mean_width"
"PMM","MSE","equal_tail_95",1,738,1.11788945799458,1.27389696513155,0.98509485094851,0,3.20154619545518
"PMM","MSE","equal_tail_95",2,738,1.56605528455285,1.4067439815232,0.994579945799458,0,3.20154619545518
"PMM","MSE","equal_tail_95",3,738,1.80477628726287,1.52588203468472,0.991869918699187,0.00677506775067751,3.20154619545518
"PMM","MSE","equal_tail_95",4,738,2.02039891598916,1.71667911227943,0.978319783197832,0.0149051490514905,3.20154619545518
"PMM","MSE","equal_tail_95",5,739,2.33196211096076,1.97579807242175,0.914749661705007,0.0730717185385656,3.20154619545518
"PMM","MSE","equal_tail_95",6,738,2.74030460704607,2.63853186589126,0.747967479674797,0.234417344173442,3.20154619545518
"PMM","MSE","equal_tail_95",7,738,3.21216775067751,2.75555717611685,0.738482384823848,0.242547425474255,3.20154619545518
"PMM","MSE","equal_tail_95",8,738,3.71855785907859,3.51408176572475,0.731707317073171,0.230352303523035,3.20154619545518
"PMM","MSE","equal_tail_95",9,738,4.6273337398374,5.46102683242292,0.718157181571816,0.193766937669377,3.20154619545518
"PMM","MSE","equal_tail_95",10,739,8.1443201623816,8.69019002572452,0.663058186738836,0.244925575101488,3.20154619545518
"PMM","MSE","abs_residual_95",1,738,1.11788945799458,1.27389696513155,0.976964769647697,0,3.65277104816695
"PMM","MSE","abs_residual_95",2,738,1.56605528455285,1.4067439815232,0.990514905149051,0,3.65277104816695
"PMM","MSE","abs_residual_95",3,738,1.80477628726287,1.52588203468472,0.998644986449865,0,3.65277104816695
"PMM","MSE","abs_residual_95",4,738,2.02039891598916,1.71667911227943,0.990514905149051,0,3.65277104816695
"PMM","MSE","abs_residual_95",5,739,2.33196211096076,1.97579807242175,0.9851150202977,0,3.65277104816695
"PMM","MSE","abs_residual_95",6,738,2.74030460704607,2.63853186589126,0.975609756097561,0.0040650406504065,3.65277104816695
"PMM","MSE","abs_residual_95",7,738,3.21216775067751,2.75555717611685,0.964769647696477,0.0121951219512195,3.65277104816695
"PMM","MSE","abs_residual_95",8,738,3.71855785907859,3.51408176572475,0.929539295392954,0.0230352303523035,3.65277104816695
"PMM","MSE","abs_residual_95",9,738,4.6273337398374,5.46102683242292,0.821138211382114,0.0623306233062331,3.65277104816695
"PMM","MSE","abs_residual_95",10,739,8.1443201623816,8.69019002572452,0.734776725304465,0.143437077131258,3.65277104816695
"PMM","MSE","upper_95",1,738,1.11788945799458,1.27389696513155,0.998644986449865,0.0013550135501355,NA
"PMM","MSE","upper_95",2,738,1.56605528455285,1.4067439815232,0.986449864498645,0.013550135501355,NA
"PMM","MSE","upper_95",3,738,1.80477628726287,1.52588203468472,0.897018970189702,0.102981029810298,NA
"PMM","MSE","upper_95",4,738,2.02039891598916,1.71667911227943,0.795392953929539,0.204607046070461,NA
"PMM","MSE","upper_95",5,739,2.33196211096076,1.97579807242175,0.622462787550744,0.377537212449256,NA
"PMM","MSE","upper_95",6,738,2.74030460704607,2.63853186589126,0.529810298102981,0.470189701897019,NA
"PMM","MSE","upper_95",7,738,3.21216775067751,2.75555717611685,0.514905149051491,0.485094850948509,NA
"PMM","MSE","upper_95",8,738,3.71855785907859,3.51408176572475,0.467479674796748,0.532520325203252,NA
"PMM","MSE","upper_95",9,738,4.6273337398374,5.46102683242292,0.750677506775068,0.249322493224932,NA
"PMM","MSE","upper_95",10,739,8.1443201623816,8.69019002572452,0.696887686062246,0.303112313937754,NA
"LSE","MSE","equal_tail_95",1,738,1.11788945799458,0.886256450683512,0.998644986449865,0,3.34249994969359
"LSE","MSE","equal_tail_95",2,738,1.56605528455285,0.971785503927364,0.994579945799458,0.0040650406504065,3.34249994969359
"LSE","MSE","equal_tail_95",3,738,1.80477628726287,1.07257646636163,0.997289972899729,0.002710027100271,3.34249994969359
"LSE","MSE","equal_tail_95",4,738,2.02039891598916,1.21856548245935,0.990514905149051,0.00948509485094851,3.34249994969359
"LSE","MSE","equal_tail_95",5,739,2.33196211096076,1.28752767667614,0.857916102841678,0.136671177266576,3.34249994969359
"LSE","MSE","equal_tail_95",6,738,2.74030460704607,1.54946351943168,0.62059620596206,0.372628726287263,3.34249994969359
"LSE","MSE","equal_tail_95",7,738,3.21216775067751,1.81434333410175,0.639566395663957,0.35230352303523,3.34249994969359
"LSE","MSE","equal_tail_95",8,738,3.71855785907859,2.45141463214293,0.529810298102981,0.452574525745257,3.34249994969359
"LSE","MSE","equal_tail_95",9,738,4.6273337398374,3.8691463695007,0.699186991869919,0.260162601626016,3.34249994969359
"LSE","MSE","equal_tail_95",10,739,8.1443201623816,6.36865725191151,0.584573748308525,0.388362652232747,3.34249994969359
"LSE","MSE","abs_residual_95",1,738,1.11788945799458,0.886256450683512,0.998644986449865,0,3.3098390670344
"LSE","MSE","abs_residual_95",2,738,1.56605528455285,0.971785503927364,0.993224932249323,0.00542005420054201,3.3098390670344
"LSE","MSE","abs_residual_95",3,738,1.80477628726287,1.07257646636163,0.994579945799458,0.00542005420054201,3.3098390670344
