"candidate","method","nrmse_mean","nrmse_sd","mae_mean","bias_mean","win_rate","pmm2_share","pmm3_share","layers_mean"
"boot_acme_returns","Huber",0.987,0.267,0.082,-0.015,0.28,NA,NA,3
"boot_acme_returns","L1",1.112,0.353,0.09,-0.02,0.16,NA,NA,3
"boot_acme_returns","ridge-LSE",1.118,0.765,0.091,0.001,0.18,NA,NA,3
"boot_acme_returns","PMM",1.36,1.432,0.1,0.011,0.14,0.778,0.333,3
"boot_acme_returns","LSE",1.379,2.219,0.099,0.001,0.24,NA,NA,3
"boot_motor_accel","LSE",2.468,4.46,48.349,-9.53,0.22,NA,NA,3
"boot_motor_accel","PMM",2.59,4.643,49.526,-6.602,0.28,0.593,0.722,3
"boot_motor_accel","Huber",2.998,8.247,49.57,-19.95,0.28,NA,NA,3
"boot_motor_accel","L1",6.411,27.822,81.469,-37.101,0.18,NA,NA,3
"boot_motor_accel","ridge-LSE",37.037,235.376,403.706,-360.532,0.04,NA,NA,3
"islr_credit_balance","PMM",0.279,0.046,79.296,-0.699,0.26,0.749,NA,3
"islr_credit_balance","LSE",0.281,0.053,85.117,1.219,0.24,NA,NA,3
"islr_credit_balance","ridge-LSE",0.287,0.051,87.09,3.01,0.22,NA,NA,3
"islr_credit_balance","Huber",0.293,0.068,79.575,-15.389,0.22,NA,NA,3
"islr_credit_balance","L1",0.295,0.055,78.456,-17.936,0.083,NA,NA,3
"mass_cars93_mpg","Huber",0.538,0.16,1.999,-0.141,0.163,NA,NA,3
"mass_cars93_mpg","L1",0.588,0.188,2.137,-0.328,0.102,NA,NA,3
"mass_cars93_mpg","LSE",0.637,0.519,2.173,-0.282,0.28,NA,NA,3
"mass_cars93_mpg","ridge-LSE",0.917,2.243,2.421,-0.489,0.184,NA,NA,3
"mass_cars93_mpg","PMM",1.687,8.104,2.903,-0.835,0.28,0.53,NA,3
"survival_solder_skips","ridge-LSE",0.619,0.049,3.347,0.03,0.39,NA,NA,3
"survival_solder_skips","LSE",0.629,0.052,3.401,0.029,0.32,NA,NA,3
"survival_solder_skips","PMM",0.644,0.042,3.511,0,0.12,NA,NA,3
"survival_solder_skips","Huber",0.649,0.056,3.339,-0.7,0.208,NA,NA,3
"survival_solder_skips","L1",0.656,0.051,3.297,-0.884,0.045,NA,NA,3
