"candidate","rep","method","nrmse","mae","bias","pmm2_share","pmm3_share","layers","ok","winner"
"sru_y2_static",1,"PMM",0.976575688551035,0.0362923390990777,0.00260976423915498,1,0,3,TRUE,FALSE
"sru_y2_static",1,"LSE",0.984041455785153,0.0365829437952824,0.00323187713669971,0,0,3,TRUE,FALSE
"sru_y2_static",1,"ridge-LSE",0.978427239892337,0.0362299838506422,0.00246584304684086,0,0,3,TRUE,FALSE
"sru_y2_static",1,"Huber",0.975831858001207,0.0357128705710279,-0.000313459141398322,0,0,3,TRUE,FALSE
"sru_y2_static",1,"L1",0.97181083872293,0.0356051643137336,-0.00112158536901531,0,0,3,TRUE,TRUE
"sru_y2_static",2,"PMM",0.972977788778275,0.0362899485708831,0.000423963537057926,1,0,3,TRUE,TRUE
"sru_y2_static",2,"LSE",0.984497305837673,0.0369353821338947,-0.000278355638628692,0,0,3,TRUE,FALSE
"sru_y2_static",2,"ridge-LSE",0.980215245819358,0.0364886797511882,-0.00114552437106438,0,0,3,TRUE,FALSE
"sru_y2_static",2,"Huber",0.980882074114648,0.0361038942114301,-0.00398136173341645,0,0,3,TRUE,FALSE
"sru_y2_static",2,"L1",0.984321255079755,0.0359776104989268,-0.00421024207391405,0,0,3,TRUE,FALSE
"sru_y2_static",3,"PMM",0.974766333769467,0.0373189429966808,0.000789401342770695,1,0,3,TRUE,FALSE
"sru_y2_static",3,"LSE",0.975649649804128,0.0376515333868976,0.000626292960955128,0,0,3,TRUE,FALSE
"sru_y2_static",3,"ridge-LSE",0.944637219580319,0.0372898609242237,0.00100834003297626,0,0,3,TRUE,TRUE
"sru_y2_static",3,"Huber",0.963607791893476,0.0362336960815396,-0.00208093765192578,0,0,3,TRUE,FALSE
"sru_y2_static",3,"L1",0.971086640354716,0.03617821915875,-0.00368263780797917,0,0,3,TRUE,FALSE
"sru_y2_static",4,"PMM",0.961937749534166,0.0374930255785254,0.00138657299171282,1,0,3,TRUE,FALSE
"sru_y2_static",4,"LSE",0.957316091674336,0.0379104504849441,-0.000408720202621303,0,0,3,TRUE,FALSE
"sru_y2_static",4,"ridge-LSE",0.956530892926319,0.0377352697482587,0.000876017590311819,0,0,3,TRUE,TRUE
"sru_y2_static",4,"Huber",0.96489591914715,0.0371286627697757,-0.00218323483073126,0,0,3,TRUE,FALSE
"sru_y2_static",4,"L1",0.979889456648401,0.0369752773637212,-0.00352920982076656,0,0,3,TRUE,FALSE
"sru_y2_static",5,"PMM",0.991324262169898,0.0366034334672417,-0.00225760793429239,1,0,3,TRUE,FALSE
"sru_y2_static",5,"LSE",0.952902298079435,0.036323232090051,-0.00216093712740326,0,0,3,TRUE,TRUE
"sru_y2_static",5,"ridge-LSE",0.991732026969166,0.0366440151791979,-0.00188789795766705,0,0,3,TRUE,FALSE
"sru_y2_static",5,"Huber",0.988221880949767,0.0362932547932515,-0.00496000789383982,0,0,3,TRUE,FALSE
"sru_y2_static",5,"L1",0.991785108730349,0.0359070931414863,-0.00641471298375041,0,0,3,TRUE,FALSE
"sru_y2_static",6,"PMM",0.982314630711018,0.0370660074340098,-0.000564134750245392,1,0,3,TRUE,FALSE
"sru_y2_static",6,"LSE",0.970064746950145,0.0369890809832151,-0.0027522422781539,0,0,3,TRUE,TRUE
"sru_y2_static",6,"ridge-LSE",1.01213820036679,0.0373794301275426,-0.00239142967683982,0,0,3,TRUE,FALSE
"sru_y2_static",6,"Huber",0.986852632128568,0.0365252597512102,-0.00503951791731955,0,0,3,TRUE,FALSE
"sru_y2_static",6,"L1",1.00560774579311,0.036609902050939,-0.00574866411219904,0,0,3,TRUE,FALSE
"sru_y2_static",7,"PMM",0.96168884367926,0.0366898406663503,0.0023645480210585,1,0,3,TRUE,FALSE
"sru_y2_static",7,"LSE",0.962596937237301,0.0367049204618155,0.00256608494257904,0,0,3,TRUE,FALSE
"sru_y2_static",7,"ridge-LSE",0.96188093564327,0.0363339861756203,0.00240971901004744,0,0,3,TRUE,FALSE
"sru_y2_static",7,"Huber",0.945037164399205,0.0354051972777809,-0.000164882459476949,0,0,3,TRUE,TRUE
"sru_y2_static",7,"L1",0.970814858456992,0.035725991492881,-0.00236951251373202,0,0,3,TRUE,FALSE
"sru_y2_static",8,"PMM",0.962166736363641,0.0367789634723624,1.23627952104513e-06,1,0,3,TRUE,FALSE
"sru_y2_static",8,"LSE",0.955996801846544,0.0370947973042461,0.000145169432331745,0,0,3,TRUE,FALSE
"sru_y2_static",8,"ridge-LSE",0.953323750369971,0.0368405439320736,-0.000502471584959347,0,0,3,TRUE,TRUE
"sru_y2_static",8,"Huber",0.975403252694643,0.0362818132827117,-0.00381141621065723,0,0,3,TRUE,FALSE
"sru_y2_static",8,"L1",0.974212197257731,0.0361892892067147,-0.00605308313170811,0,0,3,TRUE,FALSE
"sru_y2_static",9,"PMM",0.964164160716705,0.0365368885247982,-0.00184249787351703,1,0,3,TRUE,TRUE
"sru_y2_static",9,"LSE",0.965251784744538,0.036763300961361,-0.00111825765897527,0,0,3,TRUE,FALSE
"sru_y2_static",9,"ridge-LSE",0.977643504784789,0.0372360222468683,-0.00112697601005852,0,0,3,TRUE,FALSE
"sru_y2_static",9,"Huber",0.964819952911618,0.0362004090921426,-0.00530711712261902,0,0,3,TRUE,FALSE
"sru_y2_static",9,"L1",0.978383327133996,0.0362592705370345,-0.00565469482739288,0,0,3,TRUE,FALSE
"sru_y2_static",10,"PMM",0.959711678094194,0.0357129154883838,0.000534073126590232,1,0,3,TRUE,FALSE
"sru_y2_static",10,"LSE",0.951443884819481,0.0360691225926655,0.000279970485143287,0,0,3,TRUE,TRUE
"sru_y2_static",10,"ridge-LSE",0.954122810452169,0.0356998778827316,0.000234429063441761,0,0,3,TRUE,FALSE
"sru_y2_static",10,"Huber",0.960174835801855,0.0352667251134247,-0.0031145248857827,0,0,3,TRUE,FALSE
"sru_y2_static",10,"L1",0.967802670719416,0.0353245174815412,-0.00345940514361669,0,0,3,TRUE,FALSE
