"candidate","method","nrmse_mean","nrmse_sd","mae_mean","bias_mean","win_rate","pmm2_share","pmm3_share","layers_mean"
"airquality_ozone","LSE",0.636,0.098,15.139,0.978,0.12,NA,NA,3
"airquality_ozone","L1",0.646,0.211,14.263,-1.471,0.32,NA,NA,3
"airquality_ozone","Huber",0.649,0.112,15.11,-1.39,0.2,NA,NA,3
"airquality_ozone","ridge-LSE",0.654,0.119,15.421,1.319,0.1,NA,NA,3
"airquality_ozone","PMM",0.665,0.149,15.261,0.736,0.26,0.616,NA,3
"iris_versicolor","ridge-LSE",0.824,0.194,0.335,-0.042,0.24,NA,NA,3
"iris_versicolor","LSE",0.928,0.545,0.352,-0.038,0.2,NA,NA,3
"iris_versicolor","PMM",0.928,0.525,0.357,-0.046,0.24,NA,0.637,3
"iris_versicolor","Huber",0.931,0.549,0.363,-0.016,0.2,NA,NA,3
"iris_versicolor","L1",0.935,0.24,0.38,-0.044,0.12,NA,NA,3
"toothgrowth","LSE",0.505,0.086,3.127,0.005,0.18,NA,NA,1
"toothgrowth","PMM",0.508,0.102,3.168,-0.166,0.16,NA,NA,1
"toothgrowth","Huber",0.515,0.095,3.189,0.071,0.24,NA,NA,1
"toothgrowth","ridge-LSE",0.521,0.11,3.24,-0.006,0.24,NA,NA,1
"toothgrowth","L1",0.525,0.113,3.202,-0.287,0.18,NA,NA,1
