"seed","gamma3","break_mag","criterion","method","nrmse_test","nrmse_cal","coverage","width","max_log10_cond","n_params","n_train","frac_outside_hull","maha_ratio"
75001,1.5,0.3,"MSE","PMM",0.773708851865316,0.846877387841081,0.9204,3.88622297373885,3.37451529744534,36,1500,0.61,9.57120150945278
75001,1.5,0.3,"MSE","LSE",0.870020459879331,0.846227609743176,0.8944,3.89925487386835,2.95994995201671,36,1500,0.61,9.57120150945278
75001,1.5,0.3,"MSE","ridge-LSE",0.870016560614466,0.846227694933757,0.8944,3.89926131272738,2.96059609400398,36,1500,0.61,9.57120150945278
75001,1.5,0.3,"MSE","Huber",0.8571573665494,0.858278647586235,0.9096,4.16410470877933,3.01520476825787,36,1500,0.61,9.57120150945278
75001,1.5,0.3,"MSE","L1",0.868240218965872,0.875718727259794,0.9196,4.37700609475621,3.07996633266614,36,1500,0.61,9.57120150945278
75001,1.5,0.3,"ReserveTW4","PMM",0.760996985654026,0.84781213169074,0.9272,3.86818185357706,3.37451529744534,72,1500,0.61,9.57120150945278
75001,1.5,0.3,"ReserveTW4","LSE",1.23701711073762,0.848449060518547,0.7712,3.8821403369076,2.95994995201671,72,1500,0.61,9.57120150945278
75001,1.5,0.3,"ReserveTW4","ridge-LSE",1.23700770351927,0.848449932826303,0.7712,3.88217267904988,2.96059609400398,72,1500,0.61,9.57120150945278
75001,1.5,0.3,"ReserveTW4","Huber",1.12331230102466,0.862034559709377,0.8896,4.1420727559043,3.01520476825787,108,1500,0.61,9.57120150945278
75001,1.5,0.3,"ReserveTW4","L1",1.52097846556996,0.883521939379723,0.7668,4.36999758838887,3.07996633266614,108,1500,0.61,9.57120150945278
75002,1.5,0.3,"MSE","PMM",0.980852597623219,0.848715400496048,0.8424,3.52681833654916,4.11788751339134,108,1500,0.7452,9.98899221439858
75002,1.5,0.3,"MSE","LSE",0.708889555476002,0.853121159664873,0.92,3.56004941051611,3.65096581272177,108,1500,0.7452,9.98899221439858
75002,1.5,0.3,"MSE","ridge-LSE",0.707928249062638,0.853111253301559,0.9212,3.5600507537646,3.65174902136786,108,1500,0.7452,9.98899221439858
75002,1.5,0.3,"MSE","Huber",0.800200510813191,0.852379539160871,0.906,3.81899681297854,3.66345248878391,108,1500,0.7452,9.98899221439858
75002,1.5,0.3,"MSE","L1",1.09705467718269,0.860831938225799,0.8648,4.0121962087213,2.94761115184021,108,1500,0.7452,9.98899221439858
75002,1.5,0.3,"ReserveTW4","PMM",0.715604276904247,0.84839672323988,0.9068,3.5243401207329,4.11788751339134,108,1500,0.7452,9.98899221439858
75002,1.5,0.3,"ReserveTW4","LSE",0.821135378498626,0.853702826321269,0.8896,3.58590936367701,3.65096581272178,108,1500,0.7452,9.98899221439858
75002,1.5,0.3,"ReserveTW4","ridge-LSE",0.73389247716592,0.853033861784556,0.8952,3.56166369429179,3.65174902136786,108,1500,0.7452,9.98899221439858
