"criterion","method","n_seed","nrmse_med","nrmse_q1","nrmse_q3","nrmse_max","cov_med","width_med","cond_med","frac_outside_hull","maha_ratio"
"MSE","PMM",30,0.776050524078818,0.745671782601914,0.904322497570986,8.52952091660686,0.917,3.86641928618944,3.45444256422292,0.6594,10.3669573724916
"MSE","Huber",30,0.858975920852503,0.794053406816743,1.00774504654237,3.91700657071751,0.9078,4.15609096233392,3.335096014971,0.6594,10.3669573724916
"MSE","ridge-LSE",30,0.897592882948728,0.759016326883847,1.21407233060317,7.84303215471408,0.893,3.89739973313882,3.20199913840264,0.6594,10.3669573724916
"MSE","LSE",30,0.903914305669533,0.781182985589769,1.4343697446664,30.9870238165865,0.8766,3.89739638016762,3.19951156780703,0.6594,10.3669573724916
"MSE","L1",30,0.974608668767574,0.825636890861398,1.17766686377396,89.4573953272852,0.8798,4.38367366517221,2.88422841807151,0.6594,10.3669573724916
"ReserveTW4","PMM",30,0.892483076000437,0.773382563483876,1.32011695981863,11.3189441997367,0.872,3.85560548402561,3.45444256422292,0.6594,10.3669573724916
"ReserveTW4","ridge-LSE",30,1.06769725668177,0.825390274265615,1.35662938990881,10.9212888060333,0.8326,3.85667001210305,3.20199913840264,0.6594,10.3669573724916
"ReserveTW4","LSE",30,1.08783286295869,0.827314069214919,1.46852747358576,15.6866467330111,0.8036,3.85665175925834,3.19951156780703,0.6594,10.3669573724916
"ReserveTW4","Huber",30,1.124697430323,0.895456061746411,1.37631343054969,13.5809841511238,0.84,4.14585388795875,3.335096014971,0.6594,10.3669573724916
"ReserveTW4","L1",30,1.17489237424577,0.894704443942693,1.48504245431351,89.4573953272852,0.837,4.39661048125963,2.88422841807151,0.6594,10.3669573724916
