"criterion","method","n_seed","nrmse_med","nrmse_q1","nrmse_q3","nrmse_max","cov_med","pmm2_med","pmm3_med","cond_med"
"MSE","PMM",30,0.765369593623105,0.741529218694731,1.31354316394033,16.0968111424162,0.8458,0,0.888888888888889,3.76680066396671
"MSE","ridge-LSE",30,0.804428392325067,0.745643620965505,0.950088812340112,2.01630708546539,0.8316,0,0,3.44013977508278
"MSE","LSE",30,0.804564377330306,0.745658561583173,0.950153005110342,6.10247046823069,0.8318,0,0,3.43921389856271
"MSE","Huber",30,0.823699960892292,0.757784595625945,1.20197275500674,6.69381425459524,0.8152,0,0,3.36333584195744
"MSE","L1",30,0.939998294625475,0.799456123990498,1.50265971793108,11.3931498211186,0.7388,0,0,2.89211864095704
"ReserveTW4","ridge-LSE",30,0.809922755869037,0.744073608361956,1.20441577253002,5.85534793089184,0.8254,0,0,3.44013977508278
"ReserveTW4","Huber",30,0.836037796380308,0.764106556292009,2.64565417467347,9.67906547675548,0.8074,0,0,3.36333584195744
"ReserveTW4","LSE",30,0.836155180168041,0.762919878826085,2.27327471431172,10.3967209305894,0.807,0,0,3.43921389856271
"ReserveTW4","PMM",30,0.899655304173497,0.779909612069338,2.19572216634368,6.4925961672509,0.8122,0,0.888888888888889,3.76680066396671
"ReserveTW4","L1",30,0.936477476840914,0.801959888276965,1.58729992731423,30.1490076518585,0.7672,0,0,2.89211864095704
