"gamma3","break_mag","method","criterion","nrmse_med","cov_med","frac_outside_hull","maha_ratio"
0,0.1,"Huber","MSE",0.872897609682562,0.8964,0.6534,10.132491012116
0.5,0.1,"Huber","MSE",0.782231274206965,0.9288,0.6534,10.132491012116
1,0.1,"Huber","MSE",0.798891712689797,0.9182,0.6534,10.132491012116
1.5,0.1,"Huber","MSE",0.872158964341124,0.9334,0.6534,10.132491012116
2,0.1,"Huber","MSE",0.778730681872565,0.933,0.6534,10.132491012116
0,0.2,"Huber","MSE",0.866596148311386,0.8834,0.6534,10.132491012116
0.5,0.2,"Huber","MSE",0.766206404708149,0.9226,0.6534,10.132491012116
1,0.2,"Huber","MSE",0.780387376781666,0.9104,0.6534,10.132491012116
1.5,0.2,"Huber","MSE",0.850389613592256,0.9286,0.6534,10.132491012116
2,0.2,"Huber","MSE",0.768701271741734,0.928,0.6534,10.132491012116
0,0.3,"Huber","MSE",0.8651134237775,0.8728,0.6534,10.132491012116
0.5,0.3,"Huber","MSE",0.759322608652012,0.9134,0.6534,10.132491012116
1,0.3,"Huber","MSE",0.775661250528197,0.9002,0.6534,10.132491012116
1.5,0.3,"Huber","MSE",0.836652968830147,0.9238,0.6534,10.132491012116
2,0.3,"Huber","MSE",0.766748720807316,0.9184,0.6534,10.132491012116
0,0.5,"Huber","MSE",0.87270784368847,0.8424,0.6534,10.132491012116
0.5,0.5,"Huber","MSE",0.754113208505208,0.8946,0.6534,10.132491012116
1,0.5,"Huber","MSE",0.782691618846995,0.8718,0.6534,10.132491012116
1.5,0.5,"Huber","MSE",0.822509623523947,0.9136,0.6534,10.132491012116
2,0.5,"Huber","MSE",0.778243096052093,0.9016,0.6534,10.132491012116
0,1,"Huber","MSE",0.905446110503128,0.7166,0.6534,10.132491012116
0.5,1,"Huber","MSE",0.813193131067416,0.8076,0.6534,10.132491012116
1,1,"Huber","MSE",0.84815232550141,0.7568,0.6534,10.132491012116
1.5,1,"Huber","MSE",0.856622354668618,0.841,0.6534,10.132491012116
