"gamma3","break_mag","method","criterion","nrmse_med","cov_med","frac_outside_hull","maha_ratio"
0,0.1,"Huber","MSE",0.869277036697759,0.9028,0.6594,10.3669573724916
0.5,0.1,"Huber","MSE",0.99830749421852,0.8682,0.6594,10.3669573724916
1,0.1,"Huber","MSE",0.837787297264617,0.9076,0.6594,10.3669573724916
1.5,0.1,"Huber","MSE",0.877803937627956,0.9192,0.6594,10.3669573724916
2,0.1,"Huber","MSE",0.789398504699071,0.9412,0.6594,10.3669573724916
0,0.2,"Huber","MSE",0.866059715265546,0.8938,0.6594,10.3669573724916
0.5,0.2,"Huber","MSE",0.976871533193106,0.8702,0.6594,10.3669573724916
1,0.2,"Huber","MSE",0.826364779766035,0.8984,0.6594,10.3669573724916
1.5,0.2,"Huber","MSE",0.859951399775868,0.9158,0.6594,10.3669573724916
2,0.2,"Huber","MSE",0.779051793412154,0.9364,0.6594,10.3669573724916
0,0.3,"Huber","MSE",0.857472443533401,0.8942,0.6594,10.3669573724916
0.5,0.3,"Huber","MSE",0.956013739250714,0.8754,0.6594,10.3669573724916
1,0.3,"Huber","MSE",0.814886140726456,0.8874,0.6594,10.3669573724916
1.5,0.3,"Huber","MSE",0.858975920852503,0.9078,0.6594,10.3669573724916
2,0.3,"Huber","MSE",0.779658635321364,0.9292,0.6594,10.3669573724916
0,0.5,"Huber","MSE",0.820904621493811,0.8714,0.6594,10.3669573724916
0.5,0.5,"Huber","MSE",0.897614108797004,0.8622,0.6594,10.3669573724916
1,0.5,"Huber","MSE",0.812193230705251,0.8592,0.6594,10.3669573724916
1.5,0.5,"Huber","MSE",0.853891352257078,0.8866,0.6594,10.3669573724916
2,0.5,"Huber","MSE",0.793044263134043,0.9112,0.6594,10.3669573724916
0,1,"Huber","MSE",0.846351851780971,0.7484,0.6594,10.3669573724916
0.5,1,"Huber","MSE",0.858651078084353,0.774,0.6594,10.3669573724916
1,1,"Huber","MSE",0.839310568247902,0.7568,0.6594,10.3669573724916
1.5,1,"Huber","MSE",0.873753814959956,0.8022,0.6594,10.3669573724916
2,1,"Huber","MSE",0.855117153619757,0.8248,0.6594,10.3669573724916
0,0.1,"L1","MSE",0.94651303006882,0.8798,0.6594,10.3669573724916
0.5,0.1,"L1","MSE",0.957897688405488,0.8886,0.6594,10.3669573724916
1,0.1,"L1","MSE",0.869572272315134,0.9122,0.6594,10.3669573724916
1.5,0.1,"L1","MSE",1.0168674440765,0.8934,0.6594,10.3669573724916
2,0.1,"L1","MSE",0.91220865141531,0.9306,0.6594,10.3669573724916
0,0.2,"L1","MSE",0.895909537018716,0.886,0.6594,10.3669573724916
0.5,0.2,"L1","MSE",0.923249284968546,0.8866,0.6594,10.3669573724916
1,0.2,"L1","MSE",0.834003999266683,0.9046,0.6594,10.3669573724916
1.5,0.2,"L1","MSE",0.99288183565151,0.8862,0.6594,10.3669573724916
2,0.2,"L1","MSE",0.894325839015167,0.923,0.6594,10.3669573724916
0,0.3,"L1","MSE",0.862883458420236,0.8804,0.6594,10.3669573724916
0.5,0.3,"L1","MSE",0.895937101265837,0.8746,0.6594,10.3669573724916
1,0.3,"L1","MSE",0.815780578310382,0.893,0.6594,10.3669573724916
1.5,0.3,"L1","MSE",0.974608668767574,0.8798,0.6594,10.3669573724916
2,0.3,"L1","MSE",0.88862365579044,0.9144,0.6594,10.3669573724916
0,0.5,"L1","MSE",0.854495669974505,0.856,0.6594,10.3669573724916
0.5,0.5,"L1","MSE",0.88486415901654,0.8426,0.6594,10.3669573724916
1,0.5,"L1","MSE",0.823109867397272,0.867,0.6594,10.3669573724916
1.5,0.5,"L1","MSE",0.963987031919411,0.8604,0.6594,10.3669573724916
2,0.5,"L1","MSE",0.903164710760931,0.8934,0.6594,10.3669573724916
0,1,"L1","MSE",0.892815873586218,0.757,0.6594,10.3669573724916
0.5,1,"L1","MSE",0.903624950747705,0.7606,0.6594,10.3669573724916
1,1,"L1","MSE",0.883038279659996,0.7632,0.6594,10.3669573724916
1.5,1,"L1","MSE",0.946504318093634,0.798,0.6594,10.3669573724916
2,1,"L1","MSE",0.955496712327256,0.8142,0.6594,10.3669573724916
0,0.1,"LSE","MSE",0.890740582414235,0.8962,0.6594,10.3669573724916
0.5,0.1,"LSE","MSE",0.946131578362573,0.8858,0.6594,10.3669573724916
1,0.1,"LSE","MSE",0.815108971288396,0.9044,0.6594,10.3669573724916
1.5,0.1,"LSE","MSE",0.921088847059522,0.8976,0.6594,10.3669573724916
2,0.1,"LSE","MSE",0.858110871081514,0.9094,0.6594,10.3669573724916
0,0.2,"LSE","MSE",0.87579810062063,0.8998,0.6594,10.3669573724916
0.5,0.2,"LSE","MSE",0.917181991283264,0.8762,0.6594,10.3669573724916
1,0.2,"LSE","MSE",0.795814369094614,0.8964,0.6594,10.3669573724916
1.5,0.2,"LSE","MSE",0.912786755824688,0.8874,0.6594,10.3669573724916
2,0.2,"LSE","MSE",0.831530378577385,0.9022,0.6594,10.3669573724916
0,0.3,"LSE","MSE",0.873406649266255,0.8936,0.6594,10.3669573724916
0.5,0.3,"LSE","MSE",0.909933084292725,0.8652,0.6594,10.3669573724916
1,0.3,"LSE","MSE",0.781191593153376,0.8888,0.6594,10.3669573724916
1.5,0.3,"LSE","MSE",0.903914305669533,0.8766,0.6594,10.3669573724916
2,0.3,"LSE","MSE",0.798712188085086,0.895,0.6594,10.3669573724916
0,0.5,"LSE","MSE",0.853729109961878,0.8592,0.6594,10.3669573724916
0.5,0.5,"LSE","MSE",0.89081518340034,0.8424,0.6594,10.3669573724916
1,0.5,"LSE","MSE",0.783724182359917,0.8632,0.6594,10.3669573724916
1.5,0.5,"LSE","MSE",0.913978963542837,0.847,0.6594,10.3669573724916
2,0.5,"LSE","MSE",0.765263270507767,0.8776,0.6594,10.3669573724916
0,1,"LSE","MSE",0.898040246594253,0.7356,0.6594,10.3669573724916
0.5,1,"LSE","MSE",0.913324293484126,0.7592,0.6594,10.3669573724916
1,1,"LSE","MSE",0.834043795432878,0.7576,0.6594,10.3669573724916
1.5,1,"LSE","MSE",0.940628294646565,0.7692,0.6594,10.3669573724916
2,1,"LSE","MSE",0.814772372648987,0.81,0.6594,10.3669573724916
0,0.1,"PMM","MSE",0.890740582414235,0.8962,0.6594,10.3669573724916
0.5,0.1,"PMM","MSE",0.985227596527577,0.883,0.6594,10.3669573724916
1,0.1,"PMM","MSE",0.817902376232693,0.9104,0.6594,10.3669573724916
1.5,0.1,"PMM","MSE",0.813210526173264,0.9286,0.6594,10.3669573724916
2,0.1,"PMM","MSE",0.785357994282416,0.9306,0.6594,10.3669573724916
0,0.2,"PMM","MSE",0.87579810062063,0.8998,0.6594,10.3669573724916
0.5,0.2,"PMM","MSE",0.953356665437822,0.88,0.6594,10.3669573724916
1,0.2,"PMM","MSE",0.80437175491006,0.902,0.6594,10.3669573724916
1.5,0.2,"PMM","MSE",0.79282645678067,0.924,0.6594,10.3669573724916
2,0.2,"PMM","MSE",0.768628868465281,0.9248,0.6594,10.3669573724916
0,0.3,"PMM","MSE",0.873406649266255,0.8936,0.6594,10.3669573724916
0.5,0.3,"PMM","MSE",0.923534179241252,0.8758,0.6594,10.3669573724916
1,0.3,"PMM","MSE",0.792065296016772,0.894,0.6594,10.3669573724916
1.5,0.3,"PMM","MSE",0.776050524078818,0.917,0.6594,10.3669573724916
2,0.3,"PMM","MSE",0.760681771156402,0.9152,0.6594,10.3669573724916
0,0.5,"PMM","MSE",0.853729109961878,0.8592,0.6594,10.3669573724916
0.5,0.5,"PMM","MSE",0.883144548118217,0.8554,0.6594,10.3669573724916
1,0.5,"PMM","MSE",0.77889813064704,0.8726,0.6594,10.3669573724916
1.5,0.5,"PMM","MSE",0.778460401695588,0.8946,0.6594,10.3669573724916
2,0.5,"PMM","MSE",0.759011380312386,0.8952,0.6594,10.3669573724916
0,1,"PMM","MSE",0.898040246594253,0.7356,0.6594,10.3669573724916
0.5,1,"PMM","MSE",0.874537821892296,0.7736,0.6594,10.3669573724916
1,1,"PMM","MSE",0.806443159282657,0.7588,0.6594,10.3669573724916
1.5,1,"PMM","MSE",0.833996359753173,0.8084,0.6594,10.3669573724916
2,1,"PMM","MSE",0.804627568802977,0.8158,0.6594,10.3669573724916
0,0.1,"ridge-LSE","MSE",0.890738060650823,0.8962,0.6594,10.3669573724916
0.5,0.1,"ridge-LSE","MSE",0.919038823156612,0.8938,0.6594,10.3669573724916
1,0.1,"ridge-LSE","MSE",0.814556784257555,0.9044,0.6594,10.3669573724916
1.5,0.1,"ridge-LSE","MSE",0.902095615398981,0.9066,0.6594,10.3669573724916
2,0.1,"ridge-LSE","MSE",0.850037202039724,0.911,0.6594,10.3669573724916
0,0.2,"ridge-LSE","MSE",0.875867425677126,0.8998,0.6594,10.3669573724916
0.5,0.2,"ridge-LSE","MSE",0.900006725285364,0.8896,0.6594,10.3669573724916
1,0.2,"ridge-LSE","MSE",0.795312290100193,0.8964,0.6594,10.3669573724916
1.5,0.2,"ridge-LSE","MSE",0.897880017554246,0.8998,0.6594,10.3669573724916
2,0.2,"ridge-LSE","MSE",0.824883924313267,0.9042,0.6594,10.3669573724916
0,0.3,"ridge-LSE","MSE",0.873269062548237,0.8936,0.6594,10.3669573724916
0.5,0.3,"ridge-LSE","MSE",0.870002739407814,0.879,0.6594,10.3669573724916
1,0.3,"ridge-LSE","MSE",0.781173789128916,0.8888,0.6594,10.3669573724916
1.5,0.3,"ridge-LSE","MSE",0.897592882948728,0.893,0.6594,10.3669573724916
2,0.3,"ridge-LSE","MSE",0.794268891788879,0.8984,0.6594,10.3669573724916
0,0.5,"ridge-LSE","MSE",0.85354468942328,0.8618,0.6594,10.3669573724916
0.5,0.5,"ridge-LSE","MSE",0.833161769839545,0.8556,0.6594,10.3669573724916
1,0.5,"ridge-LSE","MSE",0.783716963368135,0.8632,0.6594,10.3669573724916
1.5,0.5,"ridge-LSE","MSE",0.892070556351972,0.8686,0.6594,10.3669573724916
2,0.5,"ridge-LSE","MSE",0.763911869530632,0.881,0.6594,10.3669573724916
0,1,"ridge-LSE","MSE",0.868360118784923,0.754,0.6594,10.3669573724916
0.5,1,"ridge-LSE","MSE",0.832262387462396,0.785,0.6594,10.3669573724916
1,1,"ridge-LSE","MSE",0.834044805072935,0.763,0.6594,10.3669573724916
1.5,1,"ridge-LSE","MSE",0.913481393326381,0.7826,0.6594,10.3669573724916
2,1,"ridge-LSE","MSE",0.808417373108687,0.8118,0.6594,10.3669573724916
0,0.1,"Huber","ReserveTW4",0.956561478527284,0.8884,0.6594,10.3669573724916
0.5,0.1,"Huber","ReserveTW4",1.08071085523879,0.852,0.6594,10.3669573724916
