"seed","criterion","method","nrmse_test","nrmse_cal","coverage","n_test","n_in","width","max_log10_cond","pmm2_share","pmm3_share","best_layer","n_train","n_val"
75001,"MSE","PMM",5.62076954766755,3.21912254698598,0.426093514328808,5304,2260,2.76664408838391,3.42339157988219,1,0,1,9000,3000
75001,"MSE","LSE",7.71154946362405,4.25473992992377,0.42288838612368,5304,2243,3.39241620204507,3.16310566424444,0,0,1,9000,3000
75001,"MSE","ridge-LSE",7.71153028203517,4.25472573005752,0.42288838612368,5304,2243,3.39240871640223,3.16310655427972,0,0,1,9000,3000
75001,"MSE","Huber",4.76112010557065,2.78314461649813,0.426470588235294,5304,2262,2.31813935177269,3.44487110289959,0,0,1,9000,3000
75001,"MSE","L1",1.32765047519849,1.42272754805658,0.818061840120664,5304,4339,1.17275762563262,3.54039051569073,0,0,1,9000,3000
75001,"ReserveTW4","PMM",5.62076954766755,3.21912254698598,0.426093514328808,5304,2260,2.76664408838391,3.42339157988219,1,0,1,9000,3000
75001,"ReserveTW4","LSE",7.71154946362405,4.25473992992377,0.42288838612368,5304,2243,3.39241620204507,3.16310566424444,0,0,1,9000,3000
75001,"ReserveTW4","ridge-LSE",7.71153028203517,4.25472573005752,0.42288838612368,5304,2243,3.39240871640223,3.16310655427972,0,0,1,9000,3000
75001,"ReserveTW4","Huber",4.76112010557065,2.78314461649813,0.426470588235294,5304,2262,2.31813935177269,3.44487110289959,0,0,1,9000,3000
75001,"ReserveTW4","L1",1.32765047519849,1.42272754805658,0.818061840120664,5304,4339,1.17275762563262,3.54039051569073,0,0,1,9000,3000
75002,"MSE","PMM",4.42250918322468,2.76732567990183,0.413650075414781,5304,2194,2.2880489372948,3.38295103996053,1,0,3,9000,3000
75002,"MSE","LSE",44.5355567231333,4.83443617264665,0.656485671191554,5304,3482,6.37852865372056,3.08693747470373,0,0,3,9000,3000
75002,"MSE","ridge-LSE",44.9360637462285,4.82524342408327,0.65761689291101,5304,3488,6.37298135979488,3.08693863342238,0,0,3,9000,3000
75002,"MSE","Huber",5.32274375704737,3.1752156193503,0.424396681749623,5304,2251,2.50470192243239,3.39784188771132,0,0,1,9000,3000
75002,"MSE","L1",1.35627306882566,1.43695537064377,0.805429864253394,5304,4272,1.17387024381467,3.46169737796629,0,0,1,9000,3000
75002,"ReserveTW4","PMM",4.42250918322818,2.76732567990198,0.413650075414781,5304,2194,2.2880489372956,3.38295103996053,1,0,3,9000,3000
75002,"ReserveTW4","LSE",44.5355567231333,4.83443617264665,0.656485671191554,5304,3482,6.37852865372056,3.08693747470373,0,0,3,9000,3000
75002,"ReserveTW4","ridge-LSE",44.9360637462285,4.82524342408327,0.65761689291101,5304,3488,6.37298135979488,3.08693863342238,0,0,3,9000,3000
75002,"ReserveTW4","Huber",5.32274375704737,3.1752156193503,0.424396681749623,5304,2251,2.50470192243239,3.39784188771132,0,0,1,9000,3000
75002,"ReserveTW4","L1",1.35627306882566,1.43695537064377,0.805429864253394,5304,4272,1.17387024381467,3.46169737796629,0,0,1,9000,3000
75003,"MSE","PMM",5.5986165060435,3.25009155343398,0.428544494720965,5304,2273,2.74277234837657,3.40617281630073,1,0,1,9000,3000
75003,"MSE","LSE",7.60112575955494,4.2743404342289,0.426659125188537,5304,2263,3.32563518738452,3.26081095597483,0,0,1,9000,3000
75003,"MSE","ridge-LSE",7.60110546901059,4.27432520067021,0.426659125188537,5304,2263,3.32562902571634,3.26081100072982,0,0,1,9000,3000
75003,"MSE","Huber",4.81716294929869,2.87113872415566,0.427601809954751,5304,2268,2.34496808855894,3.49587499863541,0,0,1,9000,3000
75003,"MSE","L1",1.26441367476329,1.3750673008364,0.840497737556561,5304,4458,1.14446573391786,3.6486309144009,0,0,1,9000,3000
75003,"ReserveTW4","PMM",5.5986165060435,3.25009155343398,0.428544494720965,5304,2273,2.74277234837657,3.40617281630073,1,0,1,9000,3000
75003,"ReserveTW4","LSE",7.60112575955494,4.2743404342289,0.426659125188537,5304,2263,3.32563518738452,3.26081095597483,0,0,1,9000,3000
75003,"ReserveTW4","ridge-LSE",7.60110546901059,4.27432520067021,0.426659125188537,5304,2263,3.32562902571634,3.26081100072982,0,0,1,9000,3000
75003,"ReserveTW4","Huber",4.81716294929869,2.87113872415566,0.427601809954751,5304,2268,2.34496808855894,3.49587499863541,0,0,1,9000,3000
75003,"ReserveTW4","L1",1.26441367476329,1.3750673008364,0.840497737556561,5304,4458,1.14446573391786,3.6486309144009,0,0,1,9000,3000
75004,"MSE","PMM",1.1518700206347,1.58353325342567,0.894984917043741,5304,4747,1.2094740471113,3.44784375717005,1,0,1,9000,3000
75004,"MSE","LSE",8.20425953449658,4.56699726204812,0.417986425339367,5304,2217,3.53592961886181,3.14811866525796,0,0,1,9000,3000
75004,"MSE","ridge-LSE",8.20423888391711,4.5669817100043,0.417986425339367,5304,2217,3.53592148608362,3.14811942573596,0,0,1,9000,3000
75004,"MSE","Huber",5.19751398140349,3.05406431315504,0.424962292609351,5304,2254,2.44970865322015,3.41524889829018,0,0,1,9000,3000
75004,"MSE","L1",1.33934705243497,1.44129438075033,0.814856711915535,5304,4322,1.17878763439324,3.49303532695508,0,0,1,9000,3000
75004,"ReserveTW4","PMM",6.19314586089361,3.53766657987925,0.417609351432881,5304,2215,2.93210225201591,3.44784375717005,1,0,1,9000,3000
75004,"ReserveTW4","LSE",8.20425953449658,4.56699726204812,0.417986425339367,5304,2217,3.53592961886181,3.14811866525796,0,0,1,9000,3000
75004,"ReserveTW4","ridge-LSE",8.20423888391711,4.5669817100043,0.417986425339367,5304,2217,3.53592148608362,3.14811942573596,0,0,1,9000,3000
75004,"ReserveTW4","Huber",5.19751398140349,3.05406431315504,0.424962292609351,5304,2254,2.44970865322015,3.41524889829018,0,0,1,9000,3000
75004,"ReserveTW4","L1",1.33934705243497,1.44129438075033,0.814856711915535,5304,4322,1.17878763439324,3.49303532695508,0,0,1,9000,3000
75005,"MSE","PMM",6.1867431960599,3.46996720578003,0.422134238310709,5304,2239,2.97491296380854,3.41744930886037,1,0,1,9000,3000
75005,"MSE","LSE",16.3110356036672,5.40121037342158,0.643099547511312,5304,3411,6.6940046168335,3.11121200201279,0,0,3,9000,3000
75005,"MSE","ridge-LSE",16.2773817714257,5.38738591373856,0.643853695324284,5304,3415,6.68416537748746,3.1112128615222,0,0,3,9000,3000
75005,"MSE","Huber",5.25217098806009,3.02241552264639,0.424773755656109,5304,2253,2.49724398057037,3.38401500723374,0,0,1,9000,3000
75005,"MSE","L1",1.40158988158315,1.43142326703229,0.792986425339366,5304,4206,1.18799026017122,3.42435177007618,0,0,1,9000,3000
75005,"ReserveTW4","PMM",6.1867431960599,3.46996720578003,0.422134238310709,5304,2239,2.97491296380854,3.41744930886037,1,0,1,9000,3000
75005,"ReserveTW4","LSE",8.18526635369998,4.49442410011768,0.423642533936652,5304,2247,3.57423885132788,3.11121200201279,0,0,1,9000,3000
75005,"ReserveTW4","ridge-LSE",8.1852461310721,4.49440877029706,0.423642533936652,5304,2247,3.57423248620607,3.1112128615222,0,0,1,9000,3000
75005,"ReserveTW4","Huber",5.25217098806009,3.02241552264639,0.424773755656109,5304,2253,2.49724398057037,3.38401500723374,0,0,1,9000,3000
75005,"ReserveTW4","L1",1.40158988158315,1.43142326703229,0.792986425339366,5304,4206,1.18799026017122,3.42435177007618,0,0,1,9000,3000
75006,"MSE","PMM",5.87410975358868,3.40063191774849,0.425904977375566,5304,2259,2.84920480309349,3.3779897045004,1,0,1,9000,3000
75006,"MSE","LSE",7.88951033418823,4.39361823583297,0.423642533936652,5304,2247,3.44083270291377,3.18380009499119,0,0,1,9000,3000
75006,"MSE","ridge-LSE",7.88948989435413,4.39360307640693,0.423642533936652,5304,2247,3.44082544615379,3.18380028887537,0,0,1,9000,3000
75006,"MSE","Huber",4.98120373313348,2.91911447677446,0.425150829562594,5304,2255,2.38198820562265,3.44464656836882,0,0,1,9000,3000
75006,"MSE","L1",1.38194490356081,1.44495481056326,0.800150829562594,5304,4244,1.19198781242726,3.5223582137351,0,0,1,9000,3000
75006,"ReserveTW4","PMM",5.87410975358868,3.40063191774849,0.425904977375566,5304,2259,2.84920480309349,3.3779897045004,1,0,1,9000,3000
75006,"ReserveTW4","LSE",7.88951033418823,4.39361823583297,0.423642533936652,5304,2247,3.44083270291377,3.18380009499119,0,0,1,9000,3000
75006,"ReserveTW4","ridge-LSE",7.88948989435413,4.39360307640693,0.423642533936652,5304,2247,3.44082544615379,3.18380028887537,0,0,1,9000,3000
75006,"ReserveTW4","Huber",4.98120373313348,2.91911447677446,0.425150829562594,5304,2255,2.38198820562265,3.44464656836882,0,0,1,9000,3000
75006,"ReserveTW4","L1",1.38194490356081,1.44495481056326,0.800150829562594,5304,4244,1.19198781242726,3.5223582137351,0,0,1,9000,3000
75007,"MSE","PMM",1.59321689264448,2.0362066078937,0.875188536953243,5304,4642,1.69112529193123,3.41077527839494,1,0,3,9000,3000
75007,"MSE","LSE",3.11436719427085,2.17115206374088,0.64630467571644,5304,3428,1.53416717403051,3.20362468024918,0,0,1,9000,3000
75007,"MSE","ridge-LSE",3.11436765038022,2.17115101451981,0.64630467571644,5304,3428,1.53416815334074,3.20362497633903,0,0,1,9000,3000
75007,"MSE","Huber",5.20227370166889,3.03838467216963,0.427224736048265,5304,2266,2.47955237138658,3.46126093005773,0,0,1,9000,3000
75007,"MSE","L1",1.51408664755655,1.47311607056164,0.779034690799397,5304,4132,1.28776691781108,3.56854986805642,0,0,1,9000,3000
75007,"ReserveTW4","PMM",1.59321689264136,2.03620660789503,0.875188536953243,5304,4642,1.69112529193311,3.41077527839494,1,0,3,9000,3000
75007,"ReserveTW4","LSE",3.11436719427085,2.17115206374088,0.64630467571644,5304,3428,1.53416717403051,3.20362468024918,0,0,1,9000,3000
75007,"ReserveTW4","ridge-LSE",3.11436765038022,2.17115101451981,0.64630467571644,5304,3428,1.53416815334074,3.20362497633903,0,0,1,9000,3000
75007,"ReserveTW4","Huber",5.20227370166889,3.03838467216963,0.427224736048265,5304,2266,2.47955237138658,3.46126093005773,0,0,1,9000,3000
75007,"ReserveTW4","L1",1.51408664755655,1.47311607056164,0.779034690799397,5304,4132,1.28776691781108,3.56854986805642,0,0,1,9000,3000
75008,"MSE","PMM",2.32845298470369,1.62901982815528,0.67684766214178,5304,3590,1.57210690360593,3.37707128515292,1,0,3,9000,3000
75008,"MSE","LSE",8.05026760795477,4.41808645776589,0.423831070889894,5304,2248,3.53436497098483,3.11379961011632,0,0,1,9000,3000
75008,"MSE","ridge-LSE",8.05024775864824,4.41807156745665,0.423831070889894,5304,2248,3.53435877304231,3.1138006448136,0,0,1,9000,3000
75008,"MSE","Huber",5.03273508110652,2.90551864399746,0.424396681749623,5304,2251,2.40734643075052,3.39259700714479,0,0,1,9000,3000
