"criterion","method","n_pts","emp_cov","wilson_lo","wilson_hi","verdict"
"MSE","L1",159120,0.8145,0.8126,0.8164,"UNDERCOVERS"
"MSE","PMM",159120,0.5504,0.5479,0.5528,"UNDERCOVERS"
"MSE","LSE",159120,0.5058,0.5034,0.5083,"UNDERCOVERS"
"MSE","ridge-LSE",159120,0.5058,0.5033,0.5082,"UNDERCOVERS"
"MSE","Huber",159120,0.4253,0.4229,0.4278,"UNDERCOVERS"
"ReserveTW4","L1",159120,0.8145,0.8126,0.8164,"UNDERCOVERS"
"ReserveTW4","LSE",159120,0.4797,0.4772,0.4821,"UNDERCOVERS"
"ReserveTW4","ridge-LSE",159120,0.4796,0.4771,0.482,"UNDERCOVERS"
"ReserveTW4","PMM",159120,0.4716,0.4692,0.4741,"UNDERCOVERS"
"ReserveTW4","Huber",159120,0.4253,0.4229,0.4278,"UNDERCOVERS"
