"param","value","regime","modal_default","modal_swept","changed","n_LSE","n_PMM2","n_PMM3"
"g2_threshold",0.9,"G","LSE","LSE",FALSE,30,0,0
"g2_threshold",0.9,"exp","PMM2","PMM2",FALSE,0,30,0
"g2_threshold",0.9,"lognorm","PMM2","PMM2",FALSE,0,30,0
"g2_threshold",0.9,"uniform","PMM3","PMM3",FALSE,0,0,30
"g2_threshold",0.9,"bimodal","PMM3","PMM3",FALSE,0,0,30
"g2_threshold",0.9,"laplace","LSE","LSE",FALSE,30,0,0
"g2_threshold",0.9,"contam","LSE","LSE",FALSE,29,1,0
"g2_threshold",0.95,"G","LSE","LSE",FALSE,30,0,0
"g2_threshold",0.95,"exp","PMM2","PMM2",FALSE,0,30,0
"g2_threshold",0.95,"lognorm","PMM2","PMM2",FALSE,0,30,0
"g2_threshold",0.95,"uniform","PMM3","PMM3",FALSE,0,0,30
"g2_threshold",0.95,"bimodal","PMM3","PMM3",FALSE,0,0,30
"g2_threshold",0.95,"laplace","LSE","LSE",FALSE,30,0,0
"g2_threshold",0.95,"contam","LSE","LSE",FALSE,28,2,0
"g2_threshold",0.99,"G","LSE","LSE",FALSE,30,0,0
"g2_threshold",0.99,"exp","PMM2","PMM2",FALSE,0,30,0
"g2_threshold",0.99,"lognorm","PMM2","PMM2",FALSE,0,30,0
"g2_threshold",0.99,"uniform","PMM3","PMM3",FALSE,0,0,30
"g2_threshold",0.99,"bimodal","PMM3","PMM3",FALSE,0,0,30
"g2_threshold",0.99,"laplace","LSE","LSE",FALSE,30,0,0
"g2_threshold",0.99,"contam","LSE","LSE",FALSE,28,2,0
"kurt_threshold",-0.5,"G","LSE","LSE",FALSE,30,0,0
"kurt_threshold",-0.5,"exp","PMM2","PMM2",FALSE,0,30,0
"kurt_threshold",-0.5,"lognorm","PMM2","PMM2",FALSE,0,30,0
"kurt_threshold",-0.5,"uniform","PMM3","PMM3",FALSE,0,0,30
"kurt_threshold",-0.5,"bimodal","PMM3","PMM3",FALSE,0,0,30
"kurt_threshold",-0.5,"laplace","LSE","LSE",FALSE,30,0,0
"kurt_threshold",-0.5,"contam","LSE","LSE",FALSE,28,2,0
