"seed","gamma3","break_mag","criterion","method","nrmse_test","nrmse_cal","coverage","width","pmm2_share","pmm3_share","frac_outside_hull","maha_ratio"
75001,1.5,0.3,"ReserveTW4","LSE",0.81926038613298,0.848449060518547,0.9328,3.8821403369076,0,0,0.004,0.950043251363767
75001,1.5,0.3,"ReserveTW4","PMM",0.81717310984743,0.84781213169074,0.9332,3.86818185357706,1,0,0.004,0.950043251363767
75001,1.5,0.3,"ReserveTW4","Huber",0.852973497814763,0.862034559709377,0.932,4.1420727559043,0,0,0.004,0.950043251363767
75002,1.5,0.3,"ReserveTW4","LSE",0.841036572243391,0.853702826321269,0.9096,3.58590936367701,0,0,0.0044,1.01863410033153
75002,1.5,0.3,"ReserveTW4","PMM",0.839952874027047,0.84839672323988,0.9048,3.5243401207329,1,0,0.0044,1.01863410033153
75002,1.5,0.3,"ReserveTW4","Huber",0.875612497302205,0.851941755638773,0.9084,3.80997037595743,0,0,0.0044,1.01863410033153
75003,1.5,0.3,"ReserveTW4","LSE",0.872265910273869,0.851604617263435,0.9264,3.92653520062982,0,0,0.0032,1.12443983225732
75003,1.5,0.3,"ReserveTW4","PMM",0.883123587743232,0.845839573438019,0.92,3.82282258309866,1,0,0.0032,1.12443983225732
75003,1.5,0.3,"ReserveTW4","Huber",0.921873243559088,0.853081727323336,0.9204,4.08964450891961,0,0,0.0032,1.12443983225732
75004,1.5,0.3,"ReserveTW4","LSE",0.801308269576716,0.862287464465511,0.9384,3.83116318160907,0,0,0.0016,0.995134668238832
75004,1.5,0.3,"ReserveTW4","PMM",0.795126333412756,0.857609957570668,0.9376,3.7521897416609,1,0,0.0016,0.995134668238832
75004,1.5,0.3,"ReserveTW4","Huber",0.827524185997063,0.864124467498997,0.9388,4.12165193116398,0,0,0.0016,0.995134668238832
75005,1.5,0.3,"ReserveTW4","LSE",0.846136388095046,0.835420818627865,0.9304,4.06056340524217,0,0,0.002,1.00340953742414
75005,1.5,0.3,"ReserveTW4","PMM",0.846158887483728,0.83143623716562,0.9324,4.07416589978643,1,0,0.002,1.00340953742414
